Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:43,08:14,13:07,15:43,18:04,19:27
2,06:43,08:14,13:07,15:44,18:05,19:28
3,06:43,08:14,13:08,15:44,18:06,19:29
4,06:43,08:14,13:08,15:45,18:06,19:30
5,06:43,08:14,13:09,15:46,18:07,19:30
6,06:43,08:14,13:09,15:47,18:08,19:31
7,06:43,08:14,13:10,15:48,18:09,19:32
8,06:43,08:14,13:10,15:49,18:10,19:33
9,06:43,08:14,13:10,15:49,18:11,19:34
10,06:43,08:14,13:11,15:50,18:12,19:34
11,06:43,08:14,13:11,15:51,18:13,19:35
12,06:43,08:14,13:12,15:52,18:14,19:36
13,06:43,08:14,13:12,15:53,18:15,19:37
14,06:43,08:13,13:12,15:54,18:16,19:38
15,06:43,08:13,13:13,15:55,18:17,19:39
16,06:43,08:13,13:13,15:56,18:18,19:40
17,06:43,08:12,13:13,15:56,18:19,19:41
18,06:42,08:12,13:14,15:57,18:20,19:41
19,06:42,08:12,13:14,15:58,18:21,19:42
20,06:42,08:11,13:14,15:59,18:22,19:43
21,06:41,08:11,13:15,16:00,18:23,19:44
22,06:41,08:10,13:15,16:01,18:24,19:45
23,06:41,08:10,13:15,16:02,18:25,19:46
24,06:40,08:09,13:15,16:03,18:26,19:47
25,06:40,08:08,13:16,16:04,18:27,19:48
26,06:39,08:08,13:16,16:05,18:28,19:49
27,06:39,08:07,13:16,16:06,18:29,19:50
28,06:38,08:06,13:16,16:07,18:31,19:51
29,06:39,08:06,13:16,16:08,18:32,19:52
30,06:38,08:05,13:17,16:08,18:33,19:53
31,06:37,08:04,13:17,16:09,18:34,19:54
