Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:25,06:51,13:07,16:41,19:29,20:48
2,05:23,06:50,13:07,16:41,19:30,20:49
3,05:22,06:48,13:06,16:42,19:30,20:50
4,05:20,06:47,13:06,16:42,19:31,20:51
5,05:18,06:45,13:06,16:42,19:32,20:52
6,05:17,06:44,13:06,16:42,19:33,20:53
7,05:15,06:42,13:05,16:43,19:34,20:54
8,05:13,06:41,13:05,16:43,19:35,20:55
9,05:12,06:40,13:05,16:43,19:36,20:56
10,05:10,06:38,13:05,16:43,19:37,20:57
11,05:08,06:37,13:04,16:44,19:37,20:59
12,05:07,06:35,13:04,16:44,19:38,20:00
13,05:05,06:34,13:04,16:44,19:39,21:01
14,05:03,06:33,13:03,16:44,19:40,21:02
15,05:02,06:31,13:03,16:44,19:41,21:03
16,05:00,06:30,13:03,16:44,19:42,21:04
17,04:58,06:29,13:03,16:45,19:43,21:05
18,04:57,06:27,13:03,16:45,19:44,21:07
19,04:55,06:26,13:02,16:45,19:44,21:08
20,04:54,06:25,13:02,16:45,19:45,21:09
21,04:52,06:23,13:02,16:45,19:46,21:10
22,04:50,06:22,13:02,16:45,19:47,21:11
23,04:49,06:21,13:02,16:46,19:48,21:12
24,04:47,06:20,13:01,16:46,19:49,21:14
25,04:46,06:18,13:01,16:46,19:50,21:15
26,04:44,06:17,13:01,16:46,19:51,21:16
27,04:43,06:16,13:01,16:46,19:51,21:17
28,04:43,06:16,13:01,16:45,19:50,21:16
29,04:41,06:15,13:01,16:45,19:51,21:18
30,04:40,06:13,13:00,16:46,19:52,21:19
