Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,05:52,07:08,13:56,17:33,20:36,22:16
2,05:54,07:09,13:55,17:32,20:34,22:14
3,05:55,07:10,13:55,17:31,20:32,22:12
4,05:57,07:12,13:55,17:30,20:30,22:10
5,05:59,07:13,13:54,17:28,20:28,22:08
6,06:01,07:15,13:54,17:27,20:25,22:05
7,06:02,07:16,13:54,17:25,20:23,22:03
8,06:04,07:17,13:53,17:24,20:21,22:01
9,06:05,07:19,13:53,17:23,20:19,21:59
10,06:07,07:20,13:53,17:21,20:17,21:57
11,06:09,07:22,13:52,17:20,20:15,21:55
12,06:10,07:23,13:52,17:19,20:13,21:53
13,06:12,07:24,13:52,17:17,20:11,21:51
14,06:14,07:26,13:51,17:16,20:09,21:49
15,06:15,07:27,13:51,17:14,20:06,21:46
16,06:17,07:29,13:50,17:13,20:04,21:44
17,06:18,07:30,13:50,17:11,20:02,21:42
18,06:20,07:32,13:50,17:10,20:00,21:40
19,06:21,07:33,13:49,17:08,19:58,21:38
20,06:23,07:34,13:49,17:07,19:56,21:36
21,06:25,07:36,13:49,17:05,19:54,21:34
22,06:26,07:37,13:48,17:04,19:51,21:31
23,06:28,07:39,13:48,17:02,19:49,21:29
24,06:29,07:40,13:48,17:01,19:47,21:27
25,06:31,07:42,13:47,16:59,19:45,21:25
26,06:32,07:43,13:47,16:58,19:43,21:23
27,06:34,07:44,13:47,16:56,19:41,21:21
28,06:35,07:46,13:46,16:55,19:39,21:19
29,06:37,07:47,13:46,16:53,19:37,21:17
30,06:38,07:49,13:46,16:51,19:34,21:14
