Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:44,07:56,12:53,15:18,17:44,19:14
2,06:43,07:55,12:53,15:19,17:46,19:16
3,06:41,07:53,12:53,15:20,17:47,19:17
4,06:40,07:52,12:54,15:22,17:49,19:19
5,06:39,07:51,12:54,15:23,17:50,19:20
6,06:38,07:49,12:54,15:24,17:51,19:21
7,06:37,07:48,12:54,15:25,17:53,19:23
8,06:36,07:47,12:54,15:26,17:54,19:24
9,06:34,07:45,12:54,15:27,17:56,19:26
10,06:33,07:44,12:54,15:29,17:57,19:27
11,06:32,07:42,12:54,15:30,17:59,19:29
12,06:30,07:41,12:54,15:31,18:00,19:30
13,06:29,07:39,12:54,15:32,18:02,19:32
14,06:27,07:38,12:54,15:33,18:03,19:33
15,06:26,07:36,12:54,15:34,18:05,19:35
16,06:25,07:35,12:54,15:35,18:06,19:36
17,06:23,07:33,12:54,15:37,18:08,19:38
18,06:22,07:32,12:53,15:38,18:09,19:39
19,06:20,07:30,12:53,15:39,18:10,19:40
20,06:19,07:28,12:53,15:40,18:12,19:42
21,06:17,07:27,12:53,15:41,18:13,19:43
22,06:15,07:25,12:53,15:42,18:15,19:45
23,06:14,07:23,12:53,15:43,18:16,19:46
24,06:12,07:22,12:53,15:44,18:18,19:48
25,06:10,07:20,12:53,15:45,18:19,19:49
26,06:09,07:18,12:52,15:46,18:20,19:50
27,06:07,07:15,12:52,15:47,18:22,19:52
28,06:05,07:15,12:52,15:48,18:23,19:53
29,06:05,07:15,12:52,15:48,18:23,19:53
