Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:14,05:53,13:52,17:59,21:44,23:19
2,04:14,05:54,13:52,18:00,21:44,23:19
3,04:15,05:54,13:52,18:00,21:44,23:18
4,04:16,05:55,13:52,18:00,21:43,23:18
5,04:17,05:56,13:52,18:00,21:43,23:17
6,04:18,05:56,13:53,18:00,21:43,23:16
7,04:19,05:57,13:53,18:00,21:42,23:16
8,04:21,05:58,13:53,18:00,21:42,23:15
9,04:22,05:59,13:53,18:00,21:41,23:14
10,04:23,05:59,13:53,17:59,21:41,23:13
11,04:24,06:00,13:53,17:59,21:40,23:12
12,04:25,06:01,13:53,17:59,21:39,23:11
13,04:27,06:02,13:54,17:59,21:39,23:10
14,04:28,06:03,13:54,17:59,21:38,23:09
15,04:29,06:04,13:54,17:59,21:37,23:07
16,04:31,06:05,13:54,17:59,21:36,23:06
17,04:32,06:06,13:54,17:58,21:35,23:05
18,04:34,06:07,13:54,17:58,21:35,23:04
19,04:35,06:08,13:54,17:58,21:34,23:02
20,04:37,06:09,13:54,17:58,21:33,23:01
21,04:38,06:10,13:54,17:57,21:32,22:59
22,04:40,06:11,13:54,17:57,21:31,22:58
23,04:42,06:13,13:54,17:57,21:30,22:56
24,04:43,06:14,13:54,17:56,21:28,22:55
25,04:45,06:15,13:54,17:56,21:27,22:53
26,04:46,06:16,13:54,17:56,21:26,22:51
27,04:48,06:17,13:54,17:55,21:25,22:50
28,04:50,06:18,13:54,17:55,21:24,22:48
29,04:51,06:20,13:54,17:54,21:22,22:46
30,04:53,06:21,13:54,17:54,21:21,22:45
31,04:55,06:22,13:54,17:53,21:20,22:43
