Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:01,07:13,12:50,15:44,18:21,19:29
2,06:00,07:11,12:50,15:45,18:22,19:31
3,05:58,07:09,12:50,15:46,18:24,19:32
4,05:56,07:07,12:49,15:47,18:25,19:34
5,05:54,07:05,12:49,15:48,18:27,19:35
6,05:52,07:03,12:49,15:49,18:28,19:37
7,05:50,07:01,12:49,15:50,18:30,19:38
8,05:48,06:59,12:48,15:51,18:31,19:40
9,05:46,06:57,12:48,15:52,18:33,19:41
10,05:44,06:55,12:48,15:53,18:34,19:43
11,05:42,06:53,12:48,15:54,18:36,19:44
12,05:40,06:51,12:47,15:55,18:37,19:46
13,05:38,06:49,12:47,15:56,18:39,19:47
14,05:36,06:47,12:47,15:57,18:40,19:49
15,05:34,06:45,12:47,15:57,18:41,19:50
16,05:32,06:43,12:46,15:58,18:43,19:52
17,05:30,06:41,12:46,15:59,18:44,19:53
18,05:28,06:39,12:46,16:00,18:46,19:55
19,05:26,06:37,12:45,16:01,18:47,19:56
20,05:23,06:35,12:45,16:02,18:49,19:58
21,05:21,06:33,12:45,16:03,18:50,19:59
22,05:19,06:31,12:44,16:03,18:52,20:01
23,05:17,06:29,12:44,16:04,18:53,20:02
24,05:15,06:27,12:44,16:05,18:54,20:04
25,05:13,06:25,12:44,16:06,18:56,20:05
26,05:11,06:23,12:43,17:07,19:57,21:07
27,05:08,06:21,12:43,17:07,19:59,21:09
28,05:06,06:19,12:43,17:08,20:00,21:10
29,05:04,06:17,12:42,17:09,20:02,21:12
30,05:02,06:15,12:42,11:10,20:03,21:13
31,05:00,06:13,12:42,17:10,20:04,21:15
