Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:03,07:21,12:21,14:49,17:18,18:28
2,06:05,07:19,12:21,14:48,17:16,18:27
3,06:06,07:20,12:21,14:46,17:15,18:26
4,06:07,07:22,12:21,14:45,17:13,18:24
5,06:09,07:23,12:21,14:44,17:12,18:23
6,06:10,07:25,12:21,14:43,17:10,18:22
7,06:11,07:26,12:21,14:42,17:09,18:21
8,06:13,07:28,12:21,14:41,17:08,18:19
9,06:14,07:29,12:22,14:40,17:06,18:18
10,06:15,07:31,12:22,14:39,17:05,18:17
11,06:17,07:32,12:22,14:38,17:04,18:16
12,06:18,07:34,12:22,14:37,17:02,18:15
13,06:19,07:35,12:22,14:36,17:01,18:14
14,06:21,07:37,12:22,14:35,17:00,18:13
15,06:22,07:38,12:22,14:34,16:59,18:12
16,06:23,07:40,12:22,14:33,16:58,18:11
17,06:25,07:41,12:23,14:32,16:57,18:10
18,06:26,07:43,12:23,14:31,16:56,18:09
19,06:27,07:44,12:23,14:31,16:55,18:09
20,06:28,07:46,12:23,14:30,16:54,18:08
21,06:30,07:47,12:24,14:29,16:53,18:07
22,06:31,07:48,12:24,14:29,16:52,18:06
23,06:32,07:50,12:24,14:28,16:51,18:06
24,06:33,07:51,12:24,14:27,16:50,18:05
25,06:35,07:52,12:25,14:27,16:50,18:05
26,06:36,07:54,12:25,14:26,16:49,18:04
27,06:37,07:55,12:25,14:26,16:48,18:03
28,06:38,07:56,12:26,14:25,16:48,18:03
29,06:39,07:58,12:26,14:25,16:47,18:03
30,06:40,07:59,12:26,14:25,16:47,18:02
