Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:06,07:20,12:25,14:53,17:22,18:32
2,06:08,07:21,12:25,14:52,17:20,18:31
3,06:09,07:23,12:25,14:51,17:19,18:29
4,06:10,07:24,12:25,14:50,17:17,18:28
5,06:12,07:26,12:25,14:48,17:16,18:27
6,06:13,07:27,12:25,14:47,17:15,18:26
7,06:14,07:29,12:25,14:46,17:13,18:24
8,06:16,07:30,12:25,14:45,17:12,18:23
9,06:17,07:32,12:25,14:44,17:11,18:22
10,06:18,07:33,12:25,14:43,17:09,18:21
11,06:20,07:34,12:25,14:41,17:08,18:20
12,06:21,07:36,12:25,14:41,17:07,18:19
13,06:22,07:37,12:25,14:40,17:06,18:18
14,06:24,07:39,12:25,14:39,17:05,18:17
15,06:25,07:40,12:26,14:38,17:03,18:16
16,06:26,07:42,12:26,14:38,17:02,18:15
17,06:27,07:43,12:26,14:37,17:01,18:14
18,06:29,07:45,12:26,14:36,17:00,18:13
19,06:30,07:46,12:26,14:35,16:59,18:13
20,06:31,07:48,12:27,14:35,16:58,18:12
21,06:32,07:49,12:27,14:34,16:57,18:11
22,06:34,07:50,12:27,14:33,16:57,18:10
23,06:35,07:52,12:27,14:33,16:56,18:10
24,06:36,07:53,12:28,14:32,16:55,18:09
25,06:37,07:54,12:28,14:32,16:54,18:09
26,06:38,07:56,12:28,14:31,16:54,18:08
27,06:39,07:57,12:29,14:31,16:53,18:08
28,06:41,07:58,12:29,14:30,16:52,18:07
29,06:42,08:00,12:29,14:30,16:52,18:07
30,06:43,08:01,12:30,14:29,16:51,18:06
