Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:23,07:38,14:08,17:37,20:32,21:44
2,06:21,07:35,14:08,17:38,20:34,21:46
3,06:19,07:33,14:08,17:39,20:36,21:47
4,06:17,07:31,14:07,17:40,20:37,21:49
5,06:14,07:29,14:07,17:40,20:39,21:51
6,06:12,07:27,14:07,17:41,20:40,21:52
7,06:10,07:25,14:06,17:42,20:42,21:54
8,06:08,07:23,14:06,17:42,20:43,21:56
9,06:05,07:21,14:06,17:43,20:44,21:58
10,06:03,07:19,14:06,17:44,20:46,21:59
11,06:01,07:17,14:05,17:44,20:47,22:01
12,05:59,07:15,14:05,17:45,20:49,22:03
13,05:56,07:13,14:05,17:46,20:50,22:04
14,05:54,07:11,14:05,17:46,20:52,22:06
15,05:52,07:09,14:04,17:47,20:53,22:08
16,05:50,07:08,14:04,17:48,20:54,22:10
17,05:48,07:06,14:04,17:48,20:56,22:11
18,05:45,07:04,14:04,17:49,20:57,22:13
19,05:43,07:02,14:03,17:49,20:59,22:15
20,05:41,07:00,14:03,17:50,21:00,22:17
21,05:39,06:58,14:03,17:51,21:02,22:19
22,05:37,06:56,14:03,17:51,21:03,22:20
23,05:34,06:55,14:03,17:52,21:05,22:22
24,05:32,06:53,14:02,17:52,21:06,22:24
25,05:30,06:51,14:02,17:53,21:07,22:26
26,05:28,06:49,14:02,17:53,21:09,22:28
27,05:26,06:48,14:02,17:54,21:10,22:30
28,05:24,06:46,14:02,17:54,21:12,22:31
29,05:21,06:44,14:02,17:55,21:13,22:33
30,05:19,06:42,14:02,17:56,21:14,22:35
