Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:20,06:03,14:08,18:18,22:05,23:45
2,04:22,06:05,14:08,18:18,22:05,23:44
3,04:23,06:05,14:09,18:18,22:05,23:43
4,04:24,06:06,14:09,18:18,22:04,23:43
5,04:25,06:07,14:09,18:18,22:04,23:42
6,04:26,06:08,14:09,18:18,22:03,23:41
7,04:28,06:08,14:09,18:18,22:03,23:40
8,04:29,06:09,14:09,18:18,22:02,23:39
9,04:30,06:10,14:10,18:18,22:02,23:38
10,04:31,06:11,14:10,18:18,22:01,23:37
11,04:33,06:12,14:10,18:18,22:00,23:36
12,04:34,06:13,14:10,18:18,22:00,23:35
13,04:36,06:14,14:10,18:17,21:59,23:34
14,04:37,06:15,14:10,18:17,21:58,23:32
15,04:39,06:16,14:10,18:17,21:57,23:31
16,04:40,06:17,14:10,18:17,21:56,23:30
17,04:42,06:18,14:10,18:17,21:55,23:28
18,04:43,06:19,14:11,18:16,21:55,23:27
19,04:45,06:20,14:11,18:16,21:54,23:25
20,04:46,06:21,14:11,18:16,21:53,23:24
21,04:48,06:22,14:11,18:15,21:51,23:22
22,04:50,06:23,14:11,18:15,21:50,23:20
23,04:52,06:25,14:11,18:15,21:49,23:19
24,04:53,06:26,14:11,18:14,21:48,23:17
25,04:55,06:27,14:11,18:14,21:47,23:15
26,04:57,06:28,14:11,18:13,21:46,23:14
27,04:58,06:29,14:11,18:13,21:44,23:12
28,05:00,06:31,14:11,18:12,21:43,23:10
29,05:02,06:32,14:11,18:12,21:42,23:08
30,05:04,06:33,14:11,18:11,21:40,23:06
31,05:06,06:35,14:11,18:11,21:39,23:04
