Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:38,08:03,12:55,15:24,17:47,19:12
2,06:37,08:02,12:55,15:25,17:49,19:13
3,06:36,08:01,12:55,15:26,17:50,19:15
4,06:35,07:59,12:55,15:28,17:51,19:16
5,06:34,07:58,12:55,15:29,17:53,19:17
6,06:33,07:57,12:56,15:30,17:54,19:18
7,06:32,07:55,12:56,15:31,17:56,19:20
8,06:30,07:54,12:56,15:32,17:57,19:21
9,06:29,07:53,12:56,15:33,17:59,19:22
10,06:28,07:51,12:56,15:35,18:00,19:24
11,06:27,07:50,12:56,15:36,18:02,19:25
12,06:25,07:48,12:56,15:37,18:03,19:26
13,06:24,07:47,12:56,15:38,18:05,19:28
14,06:22,07:45,12:56,15:39,18:06,19:29
15,06:21,07:44,12:56,15:40,18:08,19:30
16,06:20,07:42,12:56,15:42,18:09,19:32
17,06:18,07:41,12:55,15:43,18:11,19:33
18,06:17,07:39,12:55,15:44,18:12,19:34
19,06:15,07:37,12:55,15:45,18:13,19:36
20,06:14,07:36,12:55,15:46,18:15,19:37
21,06:12,07:34,12:55,15:47,18:16,19:38
22,06:11,07:32,12:55,15:48,18:18,19:40
23,06:09,07:31,12:55,15:49,18:19,19:41
24,06:07,07:29,12:55,15:50,18:21,19:42
25,06:06,07:27,12:55,15:51,18:22,19:44
26,06:04,07:25,12:54,15:52,18:23,19:45
27,06:02,07:24,12:54,15:53,18:25,19:46
28,06:01,07:22,12:54,15:54,18:26,19:48
29,06:01,07:22,12:54,15:54,18:26,19:48
