Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:51,06:21,13:48,17:45,21:09,22:35
2,04:49,06:19,13:47,17:45,21:10,22:38
3,04:47,06:17,13:47,17:46,21:12,22:40
4,04:44,06:15,13:47,17:46,21:13,22:42
5,04:42,06:14,13:47,17:47,21:15,22:44
6,04:40,06:12,13:47,17:48,21:16,22:46
7,04:38,06:10,13:47,17:48,21:18,22:48
8,04:35,06:09,13:47,17:49,21:19,22:50
9,04:33,06:07,13:47,17:49,21:21,22:52
10,04:31,06:06,13:47,17:50,21:22,22:55
11,04:29,06:04,13:47,17:50,21:24,22:57
12,04:26,06:02,13:47,17:51,21:25,22:59
13,04:24,06:01,13:47,17:52,21:27,23:01
14,04:22,06:00,13:47,17:52,21:28,23:03
15,04:20,05:58,13:47,17:53,21:29,23:05
16,04:18,05:57,13:47,17:53,21:31,23:07
17,04:16,05:55,13:47,17:54,21:32,23:09
18,04:14,05:54,13:47,17:54,21:34,23:12
19,04:12,05:53,13:47,17:55,21:35,23:14
20,04:10,05:52,13:47,17:55,21:36,23:16
21,04:08,05:50,13:47,17:56,21:38,23:18
22,04:06,05:49,13:47,17:56,21:39,23:20
23,04:04,05:48,13:47,17:57,21:40,23:22
24,04:03,05:47,13:47,17:57,21:41,23:24
25,04:01,05:46,13:47,17:58,21:43,23:26
26,03:59,05:45,13:48,17:58,21:44,23:27
27,03:57,05:44,13:48,17:59,21:45,23:29
28,03:56,05:43,13:48,17:59,21:46,23:31
29,03:54,05:42,13:48,18:00,21:47,23:33
30,03:53,05:41,13:48,18:00,21:48,23:35
31,03:51,05:41,13:48,18:01,21:50,23:36
