Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:50,08:07,12:54,15:07,17:34,18:48
2,06:49,08:06,12:54,15:09,17:36,18:50
3,06:48,08:05,12:54,15:10,17:37,18:51
4,06:46,08:03,12:54,15:11,17:39,18:53
5,06:45,08:02,12:54,15:13,17:41,18:54
6,06:44,08:00,12:54,15:14,17:42,18:56
7,06:42,07:59,12:54,15:15,17:44,18:57
8,06:41,07:57,12:55,15:17,17:46,18:59
9,06:40,07:55,12:55,15:18,17:47,19:00
10,06:38,07:54,12:55,15:19,17:49,19:02
11,06:37,07:52,12:55,15:21,17:51,19:03
12,06:35,07:51,12:55,15:22,17:52,19:05
13,06:34,07:49,12:55,15:23,17:54,19:06
14,06:32,07:47,12:55,15:24,17:56,19:08
15,06:30,07:45,12:55,15:26,17:57,19:09
16,06:29,07:44,12:54,15:27,17:59,19:11
17,06:27,07:42,12:54,15:28,18:01,19:12
18,06:26,07:40,12:54,15:30,18:02,19:14
19,06:24,07:38,12:54,15:31,18:04,19:16
20,06:22,07:36,12:54,15:32,18:06,19:17
21,06:20,07:35,12:54,15:33,18:07,19:19
22,06:19,07:33,12:54,15:35,18:09,19:20
23,06:17,07:31,12:54,15:36,18:11,19:22
24,06:15,07:29,12:54,15:37,18:12,19:23
25,06:13,07:27,12:54,15:38,18:14,19:25
26,06:11,07:25,12:53,15:39,18:15,19:26
27,06:09,07:23,12:53,15:40,18:17,19:28
28,06:08,07:21,12:53,15:42,18:19,19:29
29,06:08,07:21,12:53,15:42,18:19,19:29
