Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,04:43,06:30,13:49,17:48,21:09,22:38
2,04:41,06:28,13:49,17:48,21:10,22:40
3,04:39,06:27,13:48,17:49,21:12,22:41
4,04:37,06:25,13:48,17:49,21:13,22:43
5,04:35,06:23,13:48,17:50,21:15,22:45
6,04:32,06:22,13:48,17:50,21:16,22:47
7,04:30,06:20,13:48,17:51,21:17,22:49
8,04:28,06:19,13:48,17:52,21:19,22:51
9,04:26,06:17,13:48,17:52,21:20,22:52
10,04:24,06:16,13:48,17:53,21:22,22:54
11,04:22,06:14,13:48,17:53,21:23,22:56
12,04:20,06:13,13:48,17:54,21:24,22:58
13,04:18,06:11,13:48,17:54,21:26,23:00
14,04:16,06:10,13:48,17:55,21:27,23:02
15,04:14,06:09,13:48,17:55,21:29,23:03
16,04:12,06:07,13:48,17:56,21:30,23:05
17,04:10,06:06,13:48,17:56,21:31,23:07
18,04:08,06:05,13:48,17:57,21:32,23:09
19,04:06,06:04,13:48,17:57,21:34,23:10
20,04:04,06:03,13:48,17:58,21:35,23:12
21,04:02,06:01,13:48,17:58,21:36,23:14
22,04:00,06:00,13:48,17:59,21:38,23:16
23,03:58,05:59,13:48,17:59,21:39,23:17
24,03:56,05:58,13:48,18:00,21:40,23:19
25,03:55,05:57,13:48,18:00,21:41,23:21
26,03:53,05:56,13:48,18:00,21:42,23:22
27,03:51,05:56,13:49,18:01,21:43,23:24
28,03:50,05:55,13:49,18:01,21:45,23:26
29,03:48,05:54,13:49,18:02,21:46,23:27
30,03:47,05:53,13:49,18:02,21:47,23:29
31,03:45,05:52,13:49,18:03,21:48,23:30
