Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,05:06,06:30,13:53,17:48,21:09,22:30
2,05:04,06:28,13:53,17:48,21:11,22:32
3,05:02,06:27,13:53,17:49,21:12,22:34
4,05:00,06:25,13:52,17:50,21:14,22:36
5,04:58,06:23,13:52,17:50,21:15,22:38
6,04:55,06:22,13:52,17:51,21:16,22:40
7,04:53,06:20,13:52,17:51,21:18,22:42
8,04:51,06:19,13:52,17:52,21:19,22:44
9,04:49,06:17,13:52,17:52,21:21,22:46
10,04:47,06:16,13:52,17:53,21:22,22:48
11,04:45,06:14,13:52,17:53,21:24,22:50
12,04:43,06:13,13:52,17:54,21:25,22:52
13,04:41,06:11,13:52,17:54,21:26,22:54
14,04:39,06:10,13:52,17:55,21:28,22:56
15,04:37,06:09,13:52,17:55,21:29,22:58
16,04:35,06:07,13:52,17:56,21:30,23:00
17,04:33,06:06,13:52,17:56,21:32,23:02
18,04:31,06:05,13:52,17:57,21:33,23:04
19,04:30,06:04,13:52,17:57,21:34,23:06
20,04:28,06:03,13:52,17:58,21:35,23:08
21,04:26,06:01,13:52,17:58,21:37,23:10
22,04:24,06:00,13:52,17:59,21:38,23:11
23,04:23,05:59,13:52,17:59,21:39,23:13
24,04:21,05:58,13:53,18:00,21:40,23:15
25,04:19,05:57,13:53,18:00,21:41,23:17
26,04:18,05:56,13:53,18:01,21:43,23:19
27,04:16,05:55,13:53,18:01,21:44,23:20
28,04:15,05:55,13:53,18:02,21:45,23:22
29,04:14,05:54,13:53,18:02,21:46,23:24
30,04:12,05:53,13:53,18:02,21:47,23:25
31,04:11,05:52,13:53,18:03,21:48,23:27
