Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:46,05:35,13:44,17:56,21:46,23:31
2,03:47,05:35,13:44,17:56,21:46,23:31
3,03:48,05:36,13:45,17:56,21:46,23:30
4,03:50,05:37,13:45,17:56,21:45,23:29
5,03:51,05:38,13:45,17:56,21:45,23:28
6,03:52,05:38,13:45,17:56,21:44,23:27
7,03:53,05:39,13:45,17:56,21:44,23:26
8,03:55,05:40,13:45,17:56,21:43,23:25
9,03:56,05:41,13:46,17:56,21:43,23:24
10,03:57,05:42,13:46,17:56,21:42,23:23
11,03:59,05:43,13:46,17:56,21:41,23:22
12,04:00,05:44,13:46,17:56,21:41,23:20
13,04:02,05:45,13:46,17:55,21:40,23:19
14,04:03,05:46,13:46,17:55,21:39,23:18
15,04:05,05:47,13:46,17:55,21:38,23:16
16,04:07,05:48,13:46,17:55,21:37,23:15
17,04:08,05:49,13:46,17:55,21:36,23:13
18,04:10,05:50,13:47,17:54,21:35,23:12
19,04:12,05:51,13:47,17:54,21:34,23:10
20,04:14,05:53,13:47,17:54,21:33,23:08
21,04:16,05:54,13:47,17:53,21:32,23:07
22,04:17,05:55,13:47,17:53,21:31,23:05
23,04:19,05:56,13:47,17:52,21:30,23:03
24,04:21,05:58,13:47,17:52,21:28,23:01
25,04:23,05:59,13:47,17:52,21:27,22:59
26,04:25,06:00,13:47,17:51,21:26,22:57
27,04:27,06:01,13:47,17:51,21:24,22:56
28,04:29,06:03,13:47,17:50,21:23,22:54
29,04:30,06:04,13:47,17:49,21:22,22:52
30,04:32,06:05,13:47,17:49,21:20,22:50
31,04:34,06:07,13:47,17:48,21:19,22:48
