Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:01,05:55,13:39,17:48,21:23,22:43
2,04:00,05:55,13:39,17:48,21:24,22:44
3,03:59,05:54,13:39,17:49,21:25,22:45
4,03:58,05:54,13:40,17:49,21:26,22:46
5,03:57,05:53,13:40,17:49,21:27,22:47
6,03:56,05:53,13:40,17:50,21:27,22:47
7,03:55,05:52,13:40,17:50,21:28,22:48
8,03:54,05:52,13:40,17:50,21:29,22:49
9,03:54,05:52,13:40,17:51,21:29,22:49
10,03:53,05:52,13:41,17:51,21:30,22:50
11,03:52,05:51,13:41,17:51,21:31,22:51
12,03:52,05:51,13:41,17:52,21:31,22:51
13,03:52,05:51,13:41,17:52,21:32,22:52
14,03:51,05:51,13:42,17:52,21:32,22:52
15,03:51,05:51,13:42,17:52,21:33,22:53
16,03:51,05:51,13:42,17:53,21:33,22:53
17,03:51,05:51,13:42,17:53,21:33,22:53
18,03:51,05:51,13:42,17:53,21:34,22:54
19,03:51,05:51,13:43,17:53,21:34,22:54
20,03:51,05:51,13:43,17:54,21:34,22:54
21,03:51,05:52,13:43,17:54,21:34,22:54
22,03:51,05:52,13:43,17:54,21:35,22:55
23,03:51,05:52,13:43,17:54,21:35,22:55
24,03:52,05:52,13:44,17:54,21:35,22:55
25,03:52,05:53,13:44,17:55,21:35,22:55
26,03:53,05:53,13:44,17:55,21:35,22:55
27,03:53,05:53,13:44,17:55,21:35,22:55
28,03:54,05:54,13:44,17:55,21:35,22:55
29,03:54,05:54,13:44,17:55,21:35,22:55
30,03:56,05:56,13:45,17:55,21:34,22:54
