Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:01,08:24,12:42,14:32,16:54,18:13
2,07:02,08:25,12:42,14:32,16:53,18:13
3,07:03,08:27,12:43,14:32,16:53,18:12
4,07:04,08:28,12:43,14:31,16:52,18:12
5,07:05,08:29,12:44,14:31,16:52,18:12
6,07:06,08:30,12:44,14:31,16:52,18:12
7,07:07,08:31,12:45,14:31,16:51,18:12
8,07:08,08:32,12:45,14:31,16:51,18:12
9,07:09,08:33,12:45,14:31,16:51,18:12
10,07:10,08:34,12:46,14:31,16:51,18:12
11,07:11,08:35,12:46,14:31,16:51,18:12
12,07:12,08:36,12:47,14:31,16:51,18:12
13,07:12,08:37,12:47,14:31,16:51,18:12
14,07:13,08:38,12:48,14:31,16:51,18:12
15,07:14,08:39,12:48,14:31,16:51,18:12
16,07:15,08:40,12:49,14:32,16:51,18:13
17,07:15,08:41,12:49,14:32,16:52,18:13
18,07:16,08:41,12:50,14:32,16:52,18:13
19,07:17,08:42,12:50,14:33,16:52,18:10
20,07:17,08:42,12:51,14:33,16:53,18:14
21,07:18,08:43,12:51,14:34,16:53,18:15
22,07:18,08:43,12:52,14:34,16:54,18:15
23,07:19,08:44,12:52,14:35,16:54,18:16
24,07:19,08:44,12:53,14:35,16:55,18:16
25,07:19,08:45,12:53,14:36,16:56,18:17
26,07:20,08:45,12:54,14:37,16:56,18:18
27,07:20,08:45,12:54,14:37,16:57,18:18
28,07:20,08:45,12:55,14:38,16:58,18:19
29,07:21,08:46,12:55,14:39,16:59,18:20
30,07:21,08:46,12:56,14:40,17:00,18:21
31,07:21,08:46,12:56,14:41,17:01,18:21
