Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:11,07:26,12:32,15:09,17:37,18:43
2,06:12,07:27,12:32,15:08,17:36,18:42
3,06:13,07:28,12:32,15:07,17:34,18:41
4,06:14,07:29,12:32,15:06,17:33,18:40
5,06:16,07:31,12:32,15:05,17:32,18:39
6,06:17,07:32,12:32,15:04,17:31,18:37
7,06:18,07:33,12:32,15:03,17:29,18:36
8,06:19,07:34,12:32,15:02,17:28,18:35
9,06:20,07:35,12:32,15:01,17:27,18:34
10,06:22,07:37,12:32,15:00,17:26,18:33
11,06:23,07:38,12:33,14:59,17:25,18:32
12,06:24,07:39,12:33,14:59,17:24,18:31
13,06:25,07:40,12:33,14:58,17:23,18:30
14,06:26,07:41,12:33,14:57,17:22,18:30
15,06:27,07:42,12:33,14:56,17:21,18:29
16,06:29,07:44,12:33,14:55,17:20,18:28
17,06:30,07:45,12:33,14:55,17:19,18:27
18,06:31,07:46,12:34,14:54,17:18,18:26
19,06:32,07:47,12:34,14:53,17:17,18:26
20,06:33,07:48,12:34,14:53,17:16,18:25
21,06:34,07:49,12:34,14:52,17:15,18:24
22,06:35,07:50,12:35,14:52,17:15,18:24
23,06:37,07:52,12:35,14:51,17:14,18:23
24,06:38,07:53,12:35,14:51,17:13,18:23
25,06:39,07:54,12:35,14:50,17:13,18:22
26,06:40,07:55,12:36,14:50,17:12,18:22
27,06:41,07:56,12:36,14:49,17:12,18:21
28,06:42,07:57,12:36,14:49,17:11,18:21
29,06:43,07:58,12:37,14:49,17:11,18:21
30,06:44,07:59,12:37,14:48,17:10,18:20
