Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:20,07:33,13:00,15:08,17:39,18:47
2,06:22,07:35,13:00,15:07,17:37,18:45
3,06:23,07:36,13:00,15:06,17:36,18:44
4,06:24,07:38,13:00,15:05,17:34,18:43
5,06:26,07:39,13:00,15:04,17:33,18:42
6,06:27,07:41,13:00,15:03,17:32,18:40
7,06:28,07:42,13:00,15:01,17:30,18:39
8,06:30,07:44,13:00,15:00,17:29,18:38
9,06:31,07:45,13:00,14:59,17:28,18:37
10,06:32,07:47,13:00,14:58,17:26,18:36
11,06:34,07:48,13:00,14:57,17:25,18:35
12,06:35,07:50,13:00,14:56,17:24,18:34
13,06:36,07:51,13:00,14:55,17:23,18:33
14,06:37,07:53,13:00,14:55,17:22,18:32
15,06:39,07:54,13:00,14:54,17:20,18:31
16,06:40,07:55,13:00,14:53,17:19,18:30
17,06:41,07:57,13:00,14:52,17:18,18:29
18,06:43,07:58,13:00,14:51,17:17,18:28
19,06:44,08:00,13:00,14:51,17:16,18:27
20,06:45,08:01,13:00,14:50,17:15,18:27
21,06:46,08:03,13:00,14:49,17:14,18:26
22,06:47,08:04,13:00,14:48,17:14,18:25
23,06:49,08:05,13:00,14:48,17:13,18:25
24,06:50,08:07,13:00,14:47,17:12,18:24
25,06:51,08:08,13:00,14:47,17:11,18:23
26,06:52,08:09,13:00,14:46,18:11,18:23
27,06:53,08:11,13:00,14:46,17:10,18:22
28,06:54,08:12,13:00,14:45,17:09,18:22
29,06:56,08:13,13:00,14:45,17:09,18:22
30,06:57,08:14,13:00,14:45,17:08,18:21
