Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:51,05:35,13:38,17:49,21:35,23:16
2,03:50,05:34,13:38,17:49,21:36,23:18
3,03:49,05:34,13:39,17:49,21:37,23:19
4,03:48,05:33,13:39,17:50,21:39,23:21
5,03:47,05:33,13:39,17:50,21:39,23:22
6,03:46,05:32,13:39,17:51,21:39,23:23
7,03:45,05:32,13:39,17:51,21:40,23:24
8,03:44,05:31,13:39,17:51,21:41,23:26
9,03:43,05:31,13:40,17:52,21:42,23:27
10,03:43,05:31,13:40,17:52,21:42,23:28
11,03:42,05:30,13:40,17:52,21:43,23:29
12,03:42,05:30,13:40,17:53,21:44,23:29
13,03:41,05:30,13:40,17:53,21:44,23:30
14,03:41,05:30,13:41,17:53,21:45,23:31
15,03:41,05:30,13:41,17:54,21:45,23:32
16,03:40,05:30,13:41,17:54,21:45,23:32
17,03:40,05:30,13:41,17:54,21:46,23:33
18,03:40,05:30,13:41,17:54,21:46,23:33
19,03:40,05:30,13:42,17:55,21:47,23:34
20,03:40,05:30,13:42,17:55,21:47,23:34
21,03:40,05:30,13:42,17:55,21:47,23:34
22,03:41,05:31,13:42,17:55,21:47,23:34
23,03:41,05:31,13:43,17:55,21:47,23:34
24,03:41,05:31,13:43,17:56,21:47,23:34
25,03:42,05:32,13:43,17:56,21:47,23:34
26,03:42,05:32,13:43,17:56,21:47,23:34
27,03:43,05:32,13:43,17:56,21:47,23:33
28,03:44,05:33,13:44,17:56,21:47,23:33
29,03:45,05:34,13:44,17:56,21:47,23:33
30,03:45,05:34,13:44,17:56,21:47,23:32
