Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:04,08:23,12:44,14:38,16:59,18:15
2,07:04,08:23,12:45,14:39,17:00,18:16
3,07:03,08:24,12:45,14:40,17:01,18:17
4,07:03,08:24,12:46,14:41,17:02,18:18
5,07:03,08:23,12:46,14:42,17:03,18:19
6,07:03,08:23,12:47,14:43,17:05,18:20
7,07:03,08:23,12:47,14:44,17:06,18:21
8,07:03,08:23,12:48,14:45,17:07,18:22
9,07:03,08:22,12:48,14:46,17:08,18:23
10,07:03,08:22,12:48,14:47,17:09,18:24
11,07:02,08:21,12:49,14:48,17:11,18:26
12,07:02,08:21,12:49,14:50,17:12,18:27
13,07:02,08:20,12:50,14:51,17:13,18:28
14,07:01,08:20,12:50,14:52,17:14,18:29
15,07:01,08:19,12:50,14:53,17:16,18:30
16,07:00,08:19,12:51,14:54,17:17,18:31
17,07:00,08:18,12:51,14:55,17:19,18:33
18,06:59,08:17,12:51,14:57,17:20,18:34
19,06:59,08:16,12:52,14:58,17:21,18:35
20,06:58,08:16,12:52,14:59,17:23,18:36
21,06:57,08:15,12:52,15:00,17:24,18:38
22,06:57,08:14,12:52,15:01,17:26,18:39
23,06:55,08:12,12:53,15:04,17:29,18:41
24,06:56,08:13,12:53,15:03,17:27,18:40
25,06:54,08:11,12:53,15:05,17:30,18:43
26,06:53,08:10,12:53,15:06,17:32,18:44
27,06:52,08:09,12:54,15:08,17:33,18:45
28,06:51,08:08,12:54,15:09,17:35,18:47
29,06:50,08:06,12:54,15:10,17:36,18:48
30,06:49,08:05,12:54,15:11,17:38,18:49
31,06:48,08:04,12:54,15:13,17:39,18:51
