Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:42,06:11,13:44,17:43,21:10,22:35
2,04:44,06:12,13:44,17:43,21:09,22:33
3,04:46,06:13,13:44,17:42,21:08,22:31
4,04:47,06:15,13:44,17:42,21:06,22:29
5,04:49,06:16,13:44,17:41,21:05,22:27
6,04:51,06:17,13:43,17:40,21:03,22:25
7,04:53,06:18,13:43,17:40,21:01,22:23
8,04:54,06:20,13:43,17:39,21:00,22:21
9,04:56,06:21,13:43,17:38,20:58,22:19
10,04:58,06:22,13:43,17:37,20:57,22:17
11,05:00,06:24,13:43,17:37,20:55,22:15
12,05:01,06:25,13:43,17:36,20:53,22:13
13,05:03,06:26,13:42,17:35,20:52,22:11
14,05:05,06:28,13:42,17:34,20:50,22:09
15,05:07,06:29,13:42,17:33,20:48,22:06
16,05:08,06:30,13:42,17:32,20:47,22:04
17,05:10,06:32,13:42,17:31,20:45,22:02
18,05:12,06:33,13:41,17:30,20:43,22:00
19,05:14,06:34,13:41,17:30,20:41,21:58
20,05:15,06:36,13:41,17:29,20:39,21:56
21,05:17,06:37,13:41,17:28,20:38,21:53
22,05:19,06:38,13:40,17:27,20:36,21:51
23,05:20,06:40,13:40,17:26,20:34,21:49
24,05:22,06:41,13:40,17:24,20:32,21:47
25,05:24,06:42,13:40,17:23,20:30,21:45
26,05:25,06:44,13:39,17:22,20:28,21:42
27,05:27,06:45,13:39,17:21,20:26,21:40
28,05:29,06:46,13:39,17:20,20:24,21:38
29,05:30,06:48,13:38,17:19,20:22,21:36
30,05:32,06:49,13:38,17:18,20:20,21:34
31,05:33,06:50,13:38,17:17,20:18,21:31
