Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:40,06:56,13:41,17:19,20:19,21:31
2,05:41,06:57,13:41,17:17,20:17,21:29
3,05:43,06:58,13:40,17:16,20:15,21:27
4,05:44,07:00,13:40,17:15,20:13,21:25
5,05:46,07:01,13:40,17:14,20:11,21:22
6,05:47,07:02,13:39,17:12,20:09,21:20
7,05:49,07:04,13:39,17:11,20:07,21:18
8,05:50,07:05,13:39,17:10,20:05,21:16
9,05:52,07:06,13:38,17:09,20:03,21:14
10,05:53,07:08,13:38,17:07,20:01,21:11
11,05:55,07:09,13:38,17:06,19:59,21:09
12,05:56,07:10,13:37,17:05,19:57,21:07
13,05:58,07:11,13:37,17:03,19:55,21:05
14,05:59,07:13,13:36,17:02,19:53,21:03
15,06:01,07:14,13:36,17:01,19:51,21:01
16,06:02,07:15,13:36,16:59,19:49,20:58
17,06:04,07:17,13:35,16:58,19:47,20:56
18,06:05,07:18,13:35,16:56,19:45,20:54
19,06:06,07:19,13:35,16:55,19:43,20:52
20,06:08,07:21,13:34,16:54,19:41,20:50
21,06:09,07:22,13:34,16:52,19:39,20:48
22,06:11,07:23,13:34,16:51,19:37,20:45
23,06:12,07:25,13:33,16:49,19:35,20:43
24,06:14,07:26,13:33,16:48,19:33,20:41
25,06:15,07:27,13:33,16:46,19:31,20:39
26,06:16,07:29,13:32,16:45,19:29,20:37
27,06:18,07:30,13:32,16:43,19:27,20:35
28,06:19,07:31,13:32,16:42,19:25,20:33
29,06:21,07:33,13:31,16:40,19:23,20:31
30,06:22,07:34,13:31,16:39,19:21,20:29
