Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:29,08:49,13:08,15:00,17:20,18:38
2,07:29,08:49,13:09,15:01,17:21,18:39
3,07:29,08:49,13:09,15:02,17:22,18:40
4,07:29,08:49,13:10,15:03,17:23,18:41
5,07:29,08:49,13:10,15:03,17:24,18:42
6,07:28,08:49,13:10,15:04,17:26,18:43
7,07:28,08:48,13:11,15:06,17:27,18:44
8,07:28,08:48,13:11,15:07,17:28,18:45
9,07:28,08:47,13:12,15:08,17:29,18:46
10,07:28,08:47,13:12,15:09,17:30,18:47
11,07:27,08:47,13:12,15:10,17:32,18:48
12,07:27,08:46,13:13,15:11,17:33,18:49
13,07:26,08:45,13:13,15:12,17:34,18:50
14,07:26,08:45,13:14,15:13,17:36,18:52
15,07:26,08:44,13:14,15:15,17:37,18:53
16,07:25,08:43,13:14,15:16,17:39,18:54
17,07:23,08:43,13:15,15:17,17:40,18:55
18,07:24,08:42,13:00,15:18,17:41,18:56
19,07:23,08:41,13:00,15:19,17:43,18:57
20,07:22,08:40,13:00,15:21,17:44,18:59
21,07:22,08:39,13:00,15:22,17:46,19:00
22,07:21,08:38,13:00,15:23,17:47,19:02
23,07:20,08:37,13:00,15:24,17:49,19:03
24,07:19,08:36,13:00,15:26,17:50,19:04
25,07:18,08:35,13:00,15:27,17:52,19:06
26,07:18,08:34,13:00,15:28,17:53,19:07
27,07:17,08:33,13:00,15:30,17:55,19:08
28,07:16,08:32,13:00,15:31,17:57,19:10
29,07:15,08:31,13:00,15:32,17:58,19:11
30,07:13,08:29,13:00,15:33,18:00,19:13
31,07:12,08:28,13:00,15:35,18:01,19:14
