Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:55,08:26,13:08,15:27,17:52,19:23
2,06:53,08:24,13:08,15:29,17:53,19:24
3,06:52,08:23,13:08,15:30,17:55,19:25
4,06:51,08:21,13:09,15:31,17:57,19:27
5,06:50,08:20,13:09,15:33,17:58,19:28
6,06:48,08:18,13:09,15:34,18:00,19:30
7,06:47,08:17,13:09,15:35,18:02,19:31
8,06:46,08:15,13:09,15:37,18:03,19:33
9,06:44,08:14,13:09,15:38,18:05,19:34
10,06:43,08:12,13:09,15:39,18:07,19:36
11,06:41,08:10,13:09,15:41,18:08,19:37
12,06:40,08:09,13:09,15:42,18:10,19:39
13,06:38,08:07,13:09,15:43,18:12,19:40
14,06:37,08:05,13:09,15:44,18:13,19:42
15,06:35,08:03,13:09,15:46,18:15,19:43
16,06:33,08:02,13:09,15:47,18:17,19:45
17,06:32,08:00,13:09,15:48,18:18,19:46
18,06:30,07:58,13:09,15:50,18:20,19:48
19,06:28,07:56,13:08,15:51,18:22,19:49
20,06:27,07:54,13:08,15:52,18:23,19:51
21,06:25,07:52,13:08,15:53,18:25,19:53
22,06:23,07:50,13:08,15:54,18:27,19:54
23,06:21,07:49,13:08,15:56,18:28,19:56
24,06:19,07:47,13:08,15:57,18:30,19:57
25,06:18,07:45,13:08,15:58,18:31,19:59
26,06:16,07:43,13:07,15:59,18:33,20:00
27,06:14,07:41,13:07,16:00,18:35,20:02
28,06:12,07:39,13:07,16:02,18:36,20:03
29,06:23,07:34,13:08,15:58,18:36,19:44
