Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:30,07:40,12:51,15:26,17:56,19:01
2,06:32,07:42,12:51,15:25,17:54,18:59
3,06:33,07:43,12:51,15:24,17:53,18:58
4,06:34,07:45,12:51,15:23,17:51,18:57
5,06:35,07:46,12:51,15:22,17:50,18:56
6,06:36,07:47,12:51,15:20,17:49,18:55
7,06:38,07:49,12:51,15:19,17:48,18:54
8,06:39,07:50,12:51,15:19,17:46,18:53
9,06:38,07:51,12:51,15:18,17:45,18:51
10,06:41,07:53,12:51,15:17,17:44,18:50
11,06:43,07:54,12:51,15:16,17:43,18:49
12,06:44,07:55,12:51,15:15,17:42,18:49
13,06:45,07:57,12:52,15:14,17:41,18:48
14,06:46,07:58,12:52,15:13,17:40,18:47
15,06:47,08:00,12:52,15:12,17:39,18:46
16,06:49,08:01,12:52,15:12,17:38,18:45
17,06:50,08:02,12:52,15:11,17:37,18:44
18,06:51,08:04,12:52,15:10,17:36,18:44
19,06:52,08:05,12:53,15:10,17:35,18:43
20,06:53,08:06,12:53,15:09,17:34,18:42
21,06:54,08:07,12:53,15:08,17:33,18:42
22,06:55,08:09,12:53,15:08,17:33,18:41
23,06:57,08:10,12:54,15:07,17:32,18:40
24,06:58,08:11,12:54,15:07,17:31,18:40
25,06:59,08:13,12:54,15:06,17:31,18:39
26,07:00,08:14,12:55,15:06,17:30,18:39
27,07:01,08:15,12:55,15:05,17:29,18:38
28,07:02,08:16,12:55,15:05,17:29,18:38
29,07:03,08:17,12:56,15:05,17:29,18:38
30,07:04,08:19,12:56,15:04,17:28,18:37
