Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:55,05:19,13:07,17:15,20:53,22:19
2,03:55,05:20,13:07,17:15,20:53,22:18
3,03:56,05:20,13:07,17:15,20:53,22:18
4,03:57,05:21,13:07,17:16,20:52,22:18
5,03:58,05:22,13:07,17:16,20:52,22:17
6,03:59,05:22,13:08,17:16,20:52,22:17
7,04:00,05:23,13:08,17:16,20:51,22:16
8,04:01,05:24,13:08,17:16,20:51,22:15
9,04:02,05:24,13:08,17:16,20:51,22:15
10,04:03,05:25,13:08,17:16,20:50,22:14
11,04:04,05:26,13:08,17:16,20:50,22:13
12,04:05,05:27,13:09,17:16,20:49,22:12
13,04:06,05:28,13:09,17:15,20:48,22:11
14,04:07,05:28,13:09,17:15,20:48,22:10
15,04:09,05:29,13:09,17:15,20:47,22:09
16,04:10,05:30,13:09,17:15,20:46,22:08
17,04:11,05:31,13:09,17:15,20:46,22:07
18,04:12,05:32,13:09,17:15,20:45,22:06
19,04:14,05:33,13:09,17:15,20:44,22:05
20,04:15,05:34,13:09,17:14,20:43,22:04
21,04:16,05:35,13:09,17:14,20:42,22:03
22,04:18,05:36,13:09,17:14,20:42,22:01
23,04:19,05:37,13:10,17:14,20:41,22:00
24,04:21,05:38,13:10,17:13,20:40,21:59
25,04:22,05:39,13:10,17:13,20:39,21:57
26,04:23,05:40,13:10,17:13,20:38,21:56
27,04:25,05:41,13:10,17:12,20:36,21:54
28,04:26,05:42,13:10,17:12,20:35,21:53
29,04:28,05:43,13:10,17:12,20:34,21:51
30,04:29,05:44,13:10,17:11,20:33,21:50
31,04:31,05:45,13:09,17:11,20:32,21:48
