Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:57,06:59,12:53,16:08,18:46,19:49
2,05:59,07:00,12:53,16:07,18:44,19:47
3,06:00,07:01,12:52,16:05,18:42,19:45
4,06:01,07:02,12:52,16:04,18:40,19:43
5,06:02,07:03,12:52,16:03,18:38,19:41
6,06:04,07:05,12:51,16:01,18:37,19:39
7,06:05,07:06,12:51,16:00,18:35,19:38
8,06:06,07:07,12:51,15:59,18:33,19:36
9,06:07,07:08,12:51,15:57,18:31,19:34
10,06:08,07:10,12:50,15:56,18:29,19:32
11,06:10,07:11,12:50,15:54,18:27,19:30
12,06:11,07:12,12:50,15:53,18:26,19:29
13,06:12,07:13,12:50,15:52,18:24,19:27
14,06:13,07:15,12:49,15:50,18:22,19:25
15,06:15,07:16,12:49,15:49,18:20,19:24
16,06:16,07:17,12:49,15:48,18:19,19:22
17,06:17,07:19,12:49,15:46,18:17,19:20
18,06:18,07:20,12:48,15:45,18:15,19:19
19,06:20,07:21,12:48,15:44,18:14,19:17
20,06:21,07:23,12:48,15:42,18:12,19:15
21,06:22,07:24,12:48,15:41,18:10,19:14
22,06:23,07:25,12:48,15:40,18:09,19:12
23,06:24,07:26,12:48,15:39,18:07,19:11
24,06:26,07:28,12:47,15:37,18:05,19:09
25,06:27,07:29,12:47,15:36,18:04,19:08
26,06:28,07:30,12:47,15:35,18:02,19:06
27,06:29,07:32,12:47,15:34,18:01,19:05
28,06:32,07:35,12:47,15:31,17:58,19:02
29,06:33,07:36,12:47,15:30,17:56,19:00
30,06:34,07:37,12:47,15:29,17:55,18:59
31,06:35,07:39,12:47,15:28,17:53,18:58
