Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:05,08:20,12:56,15:05,17:25,18:44
2,07:06,08:21,12:57,15:04,17:25,18:44
3,07:07,08:22,12:57,15:04,17:25,18:43
4,07:08,08:23,12:57,15:04,17:24,18:43
5,07:09,08:24,12:58,15:04,17:24,18:43
6,07:10,08:25,12:58,15:04,17:24,18:43
7,07:11,08:26,12:59,15:04,17:24,18:43
8,07:12,08:27,12:59,15:04,17:24,18:43
9,07:13,08:28,13:00,15:04,17:24,18:43
10,07:13,08:29,13:00,15:04,17:24,18:43
11,07:14,08:30,13:01,15:04,17:24,18:43
12,07:15,08:31,13:01,15:04,17:24,18:43
13,07:16,08:31,13:01,15:04,17:24,18:43
14,07:17,08:32,13:02,15:04,17:24,18:43
15,07:17,08:33,13:02,15:04,17:24,18:44
16,07:18,08:34,13:03,15:05,17:24,18:44
17,07:19,08:34,13:03,15:05,17:24,18:44
18,07:19,08:35,13:04,15:05,17:25,18:45
19,07:20,08:36,13:04,15:06,17:25,18:45
20,07:20,08:36,13:05,15:06,17:26,18:45
21,07:21,08:37,13:05,15:07,17:26,18:46
22,07:21,08:37,13:06,15:07,17:26,18:46
23,07:22,08:38,13:06,15:08,17:27,18:47
24,07:22,08:38,13:07,15:08,17:28,18:47
25,07:23,08:39,13:07,15:09,17:28,18:48
26,07:23,08:39,13:08,15:09,17:29,18:49
27,07:23,08:39,13:08,15:10,17:29,18:49
28,07:24,08:39,13:09,15:11,17:30,18:50
29,07:24,08:40,13:09,15:11,17:31,18:51
30,07:24,08:40,13:10,15:12,17:32,18:51
31,07:24,08:40,13:10,15:13,17:33,18:52
