Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:56,06:23,13:54,17:53,21:18,22:41
2,04:58,06:24,13:54,17:52,21:17,22:39
3,05:00,06:26,13:54,17:52,21:16,22:37
4,05:01,06:27,13:54,17:51,21:14,22:36
5,05:03,06:28,13:54,17:50,21:13,22:34
6,05:05,06:29,13:54,17:50,21:11,22:32
7,05:06,06:31,13:54,17:49,21:10,22:30
8,05:08,06:32,13:53,17:48,21:08,22:28
9,05:10,06:33,13:53,17:48,21:07,22:26
10,05:12,06:34,13:53,17:47,21:05,22:24
11,05:13,06:36,13:53,17:46,21:04,22:22
12,05:15,06:37,13:53,17:45,21:02,22:20
13,05:17,06:38,13:53,17:45,21:00,22:18
14,05:18,06:40,13:52,17:44,20:59,22:16
15,05:20,06:41,13:52,17:43,20:57,22:14
16,05:22,06:42,13:52,17:42,20:55,22:12
17,05:23,06:44,13:52,17:41,20:53,22:10
18,05:25,06:45,13:52,17:40,20:52,22:07
19,05:27,06:46,13:51,17:39,20:50,22:05
20,05:28,06:47,13:51,17:38,20:48,22:03
21,05:30,06:49,13:51,17:37,20:46,22:01
22,05:31,06:50,13:51,17:36,20:45,21:59
23,05:33,06:51,13:50,17:35,20:43,21:57
24,05:35,06:53,13:50,17:34,20:41,21:55
25,05:36,06:54,13:50,17:33,20:39,21:52
26,05:38,06:55,13:50,17:32,20:37,21:50
27,05:39,06:57,13:49,17:31,20:35,21:48
28,05:41,06:58,13:49,17:30,20:33,21:46
29,05:43,06:59,13:49,17:29,20:32,21:44
30,05:44,07:00,13:48,17:28,20:30,21:42
31,05:46,07:02,13:48,17:27,20:28,21:39
