Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:10,07:21,14:02,17:39,20:36,21:44
2,06:11,07:22,14:02,17:38,20:34,21:42
3,06:13,07:23,14:02,17:36,20:33,21:40
4,06:14,07:24,14:01,17:35,20:31,21:38
5,06:15,07:25,14:01,17:34,20:29,21:36
6,06:17,07:26,14:01,17:33,20:27,21:34
7,06:18,07:28,14:00,17:32,20:25,21:32
8,06:19,07:29,14:00,17:31,20:23,21:30
9,06:21,07:30,14:00,17:30,20:22,21:28
10,06:22,07:31,13:59,17:28,20:20,21:26
11,06:23,07:32,13:59,17:27,20:18,21:24
12,06:24,07:33,13:59,17:26,20:16,21:22
13,06:26,07:34,13:58,17:25,20:14,21:20
14,06:27,07:26,13:58,17:24,20:12,21:18
15,06:28,07:37,13:58,17:22,20:10,21:16
16,06:29,07:38,13:57,17:21,20:09,21:14
17,06:31,07:39,13:57,17:20,20:07,21:12
18,06:32,07:40,13:56,17:19,20:05,21:10
19,06:33,07:41,13:56,17:17,20:03,21:08
20,06:34,07:43,13:56,17:16,20:01,21:06
21,06:36,07:44,13:55,17:15,19:59,21:04
22,06:37,07:45,13:55,17:13,19:57,21:02
23,06:38,07:46,13:55,17:12,19:56,21:00
24,06:39,07:47,13:54,17:11,19:54,20:58
25,06:41,07:48,13:54,17:09,19:52,20:56
26,06:42,07:50,13:54,17:08,19:50,20:54
27,06:43,07:51,13:53,17:07,19:48,20:53
28,06:44,07:52,13:53,17:05,19:46,20:51
29,06:46,07:53,13:53,17:04,19:44,20:49
30,06:47,07:54,13:52,17:03,19:43,20:47
