Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:45,05:34,13:45,17:57,21:50,23:33
2,03:46,05:35,13:45,17:57,21:49,23:33
3,03:47,05:36,13:45,17:57,21:49,23:32
4,03:48,05:36,13:45,17:57,21:48,23:31
5,03:50,05:37,13:45,17:57,21:48,23:30
6,03:51,05:38,13:45,17:57,21:47,23:29
7,03:52,05:39,13:46,17:57,21:47,23:28
8,03:53,05:40,13:46,17:57,21:46,23:27
9,03:55,05:41,13:46,17:57,21:46,23:26
10,03:56,05:42,13:46,17:57,21:45,23:25
11,03:58,05:43,13:46,17:56,21:44,23:24
12,03:59,05:44,13:46,17:56,21:44,23:22
13,04:01,05:45,13:46,17:56,21:43,23:21
14,04:03,05:46,13:46,17:56,21:42,23:20
15,04:04,05:47,13:47,17:56,21:41,23:18
16,04:06,05:48,13:47,17:55,21:40,23:17
17,04:08,05:49,13:47,17:55,21:39,23:15
18,04:09,05:50,13:47,17:55,21:38,23:13
19,04:11,05:51,13:47,17:55,21:37,23:12
20,04:13,05:52,13:47,17:54,21:36,23:10
21,04:15,05:54,13:47,17:54,21:35,23:08
22,04:17,05:55,13:47,17:54,21:34,23:06
23,04:19,05:56,13:47,17:53,21:32,23:05
24,04:20,05:57,13:47,17:53,21:31,23:03
25,04:22,05:59,13:47,17:52,21:30,23:01
26,04:24,06:00,13:47,17:52,21:29,22:59
27,04:26,06:01,13:47,17:51,21:27,22:57
28,04:28,06:02,13:47,17:51,21:26,22:55
29,04:30,06:04,13:47,17:50,21:25,22:53
30,04:32,06:05,13:47,17:50,21:23,22:51
31,04:34,06:07,13:47,17:49,21:22,22:49
