Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:44,00:00,12:29,15:09,17:22,18:52
2,05:46,00:00,12:29,15:08,17:20,18:50
3,05:47,00:00,12:29,15:07,17:19,18:49
4,05:48,00:00,12:29,15:06,17:17,18:47
5,05:50,00:00,12:29,15:05,17:15,18:45
6,05:51,00:00,12:29,15:04,17:14,18:44
7,05:53,00:00,12:29,15:03,17:13,18:43
8,05:54,00:00,12:29,15:01,17:10,18:40
9,05:55,00:00,12:29,15:01,17:10,18:40
10,05:57,00:00,12:29,15:00,17:08,18:38
11,05:58,00:00,12:30,14:59,17:07,22:37
12,05:59,00:00,12:30,14:58,17:06,18:36
13,06:01,00:00,12:30,14:57,17:04,18:34
14,06:02,00:00,12:30,14:57,17:03,18:33
15,06:03,00:00,12:30,14:56,17:02,18:32
16,06:05,00:00,12:30,14:56,17:01,18:31
17,06:06,00:00,12:30,14:56,17:00,18:30
18,06:07,00:00,12:30,14:55,16:59,18:29
19,06:08,00:00,12:30,14:55,16:58,18:28
20,06:10,00:00,12:30,14:54,16:57,18:27
21,06:11,00:00,12:30,14:54,16:56,18:26
22,06:12,00:00,12:31,14:54,16:55,18:25
23,06:13,00:00,12:31,14:54,16:55,18:25
24,06:15,00:00,12:31,14:53,16:53,18:23
25,06:16,00:00,12:31,14:53,16:52,18:22
26,06:17,00:00,12:31,14:52,16:51,18:21
27,06:18,00:00,12:31,14:52,16:50,18:20
28,06:20,00:00,12:31,14:52,16:50,18:20
29,06:21,00:00,12:31,14:51,16:49,18:19
30,06:22,00:00,12:31,14:51,16:48,18:19
