Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:48,06:14,13:37,17:33,20:55,22:19
2,04:45,06:12,13:37,17:34,20:56,22:21
3,04:43,06:10,13:37,17:34,20:58,22:23
4,04:41,06:09,13:37,17:35,20:59,22:25
5,04:39,06:07,13:37,17:35,21:01,22:27
6,04:37,06:05,13:37,17:36,21:02,22:29
7,04:35,06:04,13:37,17:37,21:04,22:31
8,04:32,06:02,13:37,17:37,21:05,22:33
9,04:30,06:01,13:37,17:38,21:07,22:35
10,04:28,05:59,13:37,17:38,21:08,22:37
11,04:26,05:58,13:37,17:39,21:09,22:39
12,04:24,05:56,13:37,17:39,21:11,22:41
13,04:22,05:55,13:37,17:40,21:12,22:43
14,04:20,05:54,13:37,17:40,21:14,22:44
15,04:18,05:52,13:37,17:41,21:15,22:46
16,04:16,05:51,13:37,17:41,21:16,22:48
17,04:15,05:50,13:37,17:42,21:18,22:50
18,04:13,05:48,13:37,17:42,21:19,22:52
19,04:11,05:47,13:37,17:43,21:20,22:54
20,04:09,05:46,13:37,17:43,21:21,22:56
21,04:07,05:45,13:37,17:44,21:23,22:58
22,04:06,05:44,13:37,17:44,21:24,23:00
23,04:04,05:43,13:37,17:45,21:25,23:02
24,04:02,05:42,13:37,17:45,21:26,23:03
25,04:01,05:41,13:37,17:46,21:27,23:05
26,03:59,05:40,13:37,17:46,21:29,23:07
27,03:58,05:39,13:37,17:47,21:30,23:09
28,03:56,05:38,13:38,17:47,21:31,23:10
29,03:55,05:37,13:38,17:47,21:32,23:12
30,03:54,05:36,13:38,17:48,21:33,23:13
31,03:52,05:36,13:38,17:48,21:34,23:15
