Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:34,06:52,13:40,17:17,20:20,21:35
2,05:35,06:53,13:40,17:16,20:18,21:33
3,05:37,06:55,13:40,17:15,20:16,21:31
4,05:39,06:56,13:39,17:14,20:14,21:28
5,05:41,06:58,13:39,17:12,20:12,21:26
6,05:42,06:59,13:39,17:11,20:10,21:24
7,05:44,07:01,13:38,17:09,20:08,21:21
8,05:46,07:02,13:38,17:08,20:06,21:19
9,05:47,07:03,13:38,17:07,20:04,21:17
10,05:49,07:05,13:37,17:05,20:01,21:14
11,05:50,07:06,13:37,17:04,19:59,21:12
12,05:52,07:08,13:36,17:02,19:57,21:10
13,05:54,07:09,13:36,17:01,19:55,21:07
14,05:55,07:11,13:36,17:00,19:53,21:05
15,05:57,07:12,13:35,16:58,19:51,21:03
16,05:59,07:13,13:35,16:57,19:49,21:00
17,06:00,07:15,13:35,16:55,19:46,20:58
18,06:02,07:16,13:34,16:54,19:44,20:56
19,06:03,07:18,13:34,16:52,19:42,20:53
20,06:05,07:19,13:34,16:51,19:40,20:51
21,06:06,07:21,13:33,16:49,19:38,20:49
22,06:08,07:22,13:33,16:48,19:36,20:47
23,06:10,07:24,13:33,16:46,19:34,20:44
24,06:11,07:25,13:32,16:44,19:31,20:42
25,06:13,07:26,13:32,16:43,19:29,20:40
26,06:14,07:28,13:32,16:41,19:27,20:38
27,06:16,07:29,13:31,16:40,19:25,20:36
28,06:17,07:31,13:31,16:38,19:23,20:33
29,06:19,07:32,13:31,16:37,19:21,20:31
30,06:20,07:34,13:30,16:35,19:19,20:29
