Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:12,07:26,12:31,15:01,17:30,18:40
2,06:14,07:28,12:31,15:00,17:28,18:38
3,06:15,07:29,12:31,14:59,17:27,18:37
4,06:16,07:30,12:31,14:58,17:26,18:36
5,06:18,07:32,12:31,14:57,17:24,18:34
6,06:19,07:33,12:31,14:56,17:23,18:33
7,06:20,07:35,12:31,14:55,17:21,18:32
8,06:22,07:36,12:32,14:53,17:20,18:31
9,06:23,07:38,12:32,14:52,17:19,18:30
10,06:24,07:39,12:32,14:51,17:17,18:29
11,06:25,07:41,12:32,14:50,17:16,18:27
12,06:27,07:42,12:32,14:49,17:15,18:26
13,06:28,07:44,12:32,14:49,17:14,18:25
14,06:29,07:45,12:32,14:48,17:13,18:24
15,06:31,07:47,12:32,14:47,17:11,18:24
16,06:32,07:48,12:33,14:46,17:10,18:23
17,06:33,07:50,12:33,14:45,17:09,18:22
18,06:34,07:51,12:33,14:44,17:08,18:21
19,06:36,07:52,12:33,14:44,17:07,18:20
20,06:37,07:54,12:33,14:43,17:06,18:19
21,06:38,07:55,12:34,14:42,17:06,18:19
22,06:39,07:57,12:34,14:41,17:05,18:18
23,06:41,07:58,12:34,14:41,17:04,18:17
24,06:42,07:59,12:34,14:40,17:03,18:17
25,06:43,08:01,12:35,14:40,17:02,18:16
26,06:44,08:02,12:35,14:39,17:02,18:16
27,06:45,08:03,12:35,14:39,17:01,18:15
28,06:46,08:05,12:36,14:38,17:00,18:15
29,06:47,08:06,12:36,14:38,17:00,18:14
30,06:49,08:07,12:36,14:38,16:59,18:14
