Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:25,07:38,12:39,15:04,17:33,18:43
2,06:26,07:39,12:39,15:03,17:31,18:42
3,06:28,07:41,12:39,15:01,17:30,18:40
4,06:29,07:42,12:39,15:00,17:28,18:39
5,06:30,07:44,12:39,14:59,17:27,18:37
6,06:32,07:46,12:39,14:58,17:25,18:36
7,06:33,07:47,12:39,14:56,17:24,18:35
8,06:35,07:49,12:39,14:55,17:22,18:33
9,06:36,07:50,12:40,14:54,17:21,18:32
10,06:37,07:52,12:40,14:53,17:20,18:31
11,06:34,07:54,12:36,14:45,17:11,21:18
12,06:40,07:55,12:40,14:51,17:17,18:29
13,06:42,07:57,12:40,14:50,17:16,18:28
14,06:43,07:58,12:40,14:49,17:14,18:27
15,06:44,08:00,12:40,14:48,17:13,18:26
16,06:46,08:01,12:40,14:47,17:12,18:25
17,06:47,08:03,12:41,14:46,17:11,18:24
18,06:44,08:05,12:37,14:38,17:02,18:20
19,06:45,08:07,12:37,14:37,17:01,18:19
20,06:46,08:08,12:38,14:37,17:00,18:18
21,06:48,08:10,12:38,14:36,16:59,18:17
22,06:49,08:11,12:38,14:35,16:58,18:16
23,06:50,08:13,12:38,14:34,16:57,18:16
24,06:52,08:14,12:39,14:34,16:56,18:15
25,06:53,08:16,12:39,14:33,16:56,18:14
26,06:54,08:17,12:39,14:32,16:55,18:14
27,06:55,08:19,12:40,14:32,16:54,18:13
28,06:57,08:20,12:44,14:31,16:53,18:13
29,06:58,08:21,12:40,14:31,16:53,18:12
30,06:59,08:23,12:41,14:30,16:52,18:12
