Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:14,07:29,13:03,15:52,18:31,19:43
2,06:12,07:27,13:03,15:53,18:32,19:45
3,06:09,07:25,13:02,15:54,18:34,19:46
4,06:07,07:22,13:02,15:56,18:36,19:48
5,06:05,07:20,13:02,15:57,18:37,19:50
6,06:03,07:18,13:02,15:58,18:39,19:51
7,06:01,07:16,13:02,15:59,18:41,19:53
8,05:59,07:14,13:01,16:00,18:42,19:55
9,05:57,07:12,13:01,16:01,18:44,19:56
10,05:55,07:10,13:01,16:02,18:46,19:58
11,05:52,07:08,13:00,16:03,18:47,20:00
12,05:50,07:05,13:00,16:04,18:49,20:01
13,05:48,07:03,13:00,16:05,18:51,20:03
14,05:46,07:01,13:00,16:06,18:52,20:05
15,05:44,06:59,12:59,16:07,18:54,20:06
16,05:41,06:57,12:59,16:08,18:55,20:08
17,05:39,06:54,12:59,16:09,18:57,20:10
18,05:37,06:52,12:59,16:10,18:59,20:11
19,05:35,06:50,12:58,16:11,19:00,20:13
20,05:32,06:48,12:58,16:12,19:02,20:15
21,05:30,06:46,12:58,16:13,19:04,20:17
22,05:28,06:43,12:57,16:14,19:05,20:18
23,05:25,06:41,12:57,16:15,19:07,20:20
24,05:23,06:39,12:57,16:16,19:08,20:22
25,05:21,06:37,12:56,16:17,19:10,20:24
26,05:18,06:35,12:56,16:18,19:12,20:25
27,05:16,06:32,12:56,16:19,19:13,20:27
28,06:13,07:30,13:56,17:20,20:15,21:29
29,06:11,07:28,13:55,17:21,20:16,21:31
30,06:09,07:26,13:55,17:21,20:18,21:32
31,06:06,07:24,13:55,17:22,20:20,21:34
