Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:24,08:49,12:57,14:39,17:01,18:31
2,07:24,08:49,12:58,14:40,17:02,18:32
3,07:24,08:49,12:58,14:41,17:04,18:34
4,07:24,08:48,12:59,14:42,17:05,18:35
5,07:23,08:48,12:59,14:43,17:06,18:36
6,07:23,08:48,13:00,14:44,17:07,18:37
7,07:23,08:47,13:00,14:45,17:08,18:38
8,07:23,08:47,13:01,14:46,17:10,18:40
9,07:23,08:47,13:01,14:47,17:11,18:41
10,07:22,08:46,13:01,14:48,17:12,18:42
11,07:22,08:46,13:02,14:50,17:14,18:44
12,07:21,08:45,13:02,14:51,17:15,18:45
13,07:21,08:44,13:03,14:52,17:16,18:46
14,07:20,08:44,13:03,14:53,17:18,18:48
15,07:20,08:43,13:03,14:55,17:19,18:49
16,07:19,08:42,13:04,14:56,17:21,18:51
17,07:19,08:41,13:04,14:57,17:22,18:52
18,07:18,08:40,13:04,14:58,17:24,18:54
19,07:17,08:39,13:05,15:00,17:25,18:55
20,07:17,08:38,13:05,15:01,17:27,18:57
21,07:16,08:37,13:05,15:02,17:29,18:59
22,07:15,08:36,13:05,15:04,17:30,19:00
23,07:14,08:35,13:06,15:05,17:32,19:02
24,07:13,08:34,13:06,15:06,17:34,19:04
25,07:12,08:33,13:06,15:08,17:35,19:05
26,07:11,08:32,13:06,15:09,17:37,19:07
27,07:10,08:30,13:07,15:10,17:39,19:09
28,07:09,08:29,13:07,15:12,17:40,19:10
29,07:08,08:28,13:07,15:13,17:42,19:12
30,07:07,08:26,13:07,15:15,17:44,19:14
31,07:06,08:25,13:07,15:16,17:45,19:15
