Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:16,07:26,14:07,17:43,20:39,21:46
2,06:18,07:27,14:06,17:42,20:38,21:44
3,06:19,07:28,14:06,17:40,20:36,21:42
4,06:20,07:29,14:06,17:39,20:34,21:40
5,06:21,07:30,14:05,17:38,20:32,21:38
6,06:23,07:31,14:05,17:37,20:30,21:36
7,06:24,07:33,14:05,17:36,20:29,21:34
8,06:25,07:34,14:04,17:35,20:27,21:32
9,06:26,07:35,14:04,17:34,20:25,21:30
10,06:28,07:36,14:03,17:33,20:23,21:28
11,06:29,07:37,14:03,17:32,20:21,21:26
12,06:30,07:38,14:03,17:30,20:20,21:24
13,06:31,07:39,14:02,17:29,20:18,21:22
14,06:33,07:40,14:02,17:28,20:16,21:21
15,06:34,07:41,14:02,17:27,20:14,21:19
16,06:35,07:42,14:01,17:26,20:12,21:17
17,06:36,07:44,14:01,17:24,20:11,21:15
18,06:37,07:45,14:01,17:23,20:09,21:13
19,06:39,07:46,14:00,17:22,20:07,21:11
20,06:40,07:47,14:00,17:21,20:05,21:09
21,06:41,07:48,14:00,17:19,20:03,21:07
22,06:42,07:49,13:59,17:18,20:02,21:05
23,06:43,07:50,13:59,17:17,20:00,21:03
24,06:45,07:51,13:59,17:15,19:58,21:02
25,06:46,07:53,13:58,17:14,19:56,21:00
26,06:47,07:54,13:58,17:13,19:54,20:58
27,06:48,07:55,13:58,17:12,19:52,20:56
28,06:49,07:56,13:57,17:10,19:51,20:54
29,06:50,07:57,13:57,17:09,19:49,20:52
30,06:52,07:58,13:57,17:08,19:47,20:51
