Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:15,07:24,12:37,15:17,17:45,18:49
2,06:16,07:25,12:37,15:16,17:43,18:48
3,06:17,07:26,12:37,15:15,17:42,18:46
4,06:18,07:28,12:37,15:14,17:41,18:45
5,06:19,07:29,12:37,15:13,17:40,18:44
6,06:20,07:30,12:37,15:12,17:39,18:43
7,06:22,07:31,12:37,15:11,17:37,18:42
8,06:23,07:33,12:37,15:10,17:36,18:41
9,06:24,07:34,12:37,15:09,17:35,18:40
10,06:25,07:35,12:37,15:08,17:34,18:39
11,06:26,07:36,12:37,15:08,17:33,18:38
12,06:27,07:38,12:38,15:07,17:32,18:38
13,06:28,07:39,12:38,15:06,17:31,18:37
14,06:29,07:40,12:38,15:05,17:30,18:36
15,06:31,07:42,12:38,15:04,17:29,18:35
16,06:32,07:43,12:38,15:04,17:28,18:34
17,06:33,07:44,12:38,15:03,17:27,18:34
18,06:34,07:45,12:39,15:02,17:27,18:33
19,06:35,07:47,12:39,15:02,17:26,18:32
20,06:36,07:48,12:39,15:01,17:25,18:32
21,06:37,07:49,12:39,15:01,17:24,18:31
22,06:38,07:50,12:40,15:00,17:24,18:31
23,06:39,07:51,12:40,15:00,17:23,18:30
24,06:40,07:53,12:40,14:59,17:22,18:30
25,06:41,07:54,12:40,14:59,17:22,18:29
26,06:42,07:55,12:41,14:59,17:21,18:29
27,06:43,07:56,12:41,14:58,17:21,18:28
28,06:44,07:57,12:41,14:58,17:20,18:28
29,06:45,07:58,12:42,14:58,17:20,18:28
30,06:46,07:59,12:42,14:57,17:20,18:28
