Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,6:39,8:01,12:23,14:17,16:39,17:56
2,6:40,8:02,12:23,14:17,16:38,17:56
3,6:41,8:03,12:24,14:17,16:38,17:56
4,6:42,8:04,12:24,14:16,16:38,17:56
5,6:43,8:06,12:25,14:16,16:37,17:55
6,6:44,8:07,12:25,14:16,16:37,17:55
7,6:45,8:08,12:25,14:16,16:37,17:55
8,6:46,8:09,12:26,14:16,16:37,17:55
9,6:47,8:10,12:26,14:16,16:36,17:55
10,6:48,8:11,12:27,14:16,16:36,17:55
11,6:49,8:12,12:27,14:16,16:36,17:55
12,6:50,8:13,12:28,14:16,16:36,17:55
13,6:51,8:14,12:28,14:16,16:36,17:55
14,6:52,8:15,12:29,14:16,16:36,17:55
15,6:52,8:15,12:29,14:17,16:37,17:56
16,6:53,8:16,12:30,14:17,16:37,17:56
17,6:54,8:17,12:30,14:17,16:37,17:56
18,6:54,8:18,12:31,14:18,16:37,17:57
19,6:55,8:18,12:31,14:18,16:38,17:57
20,6:56,8:19,12:32,14:18,16:38,17:57
21,6:56,8:19,12:32,14:19,16:39,17:58
22,6:57,8:20,12:33,14:19,16:39,17:58
23,6:57,8:20,12:33,14:20,16:40,17:59
24,6:58,8:21,12:34,14:20,16:40,18:00
25,6:58,8:21,12:34,14:21,16:41,18:00
26,6:58,8:21,12:35,14:22,16:42,18:01
27,6:59,8:22,12:35,14:22,16:42,18:02
28,6:59,8:22,12:36,14:23,16:43,18:02
29,6:59,8:22,12:36,14:24,16:44,18:03
30,6:59,8:22,12:36,14:25,16:45,18:04
31,6:59,8:22,12:37,14:25,16:46,18:05
