Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:57,07:11,13:40,17:08,20:03,21:13
2,05:55,07:09,13:39,17:09,20:04,21:15
3,05:53,07:07,13:39,17:10,20:06,21:17
4,05:51,07:05,13:39,17:10,20:07,21:18
5,05:48,07:03,13:39,17:11,20:08,21:20
6,05:46,07:01,13:38,17:12,20:10,21:21
7,05:44,06:59,13:38,17:13,20:11,21:23
8,05:42,06:57,13:38,17:13,20:13,21:25
9,05:40,06:55,13:37,17:14,20:14,21:26
10,05:37,06:53,13:37,17:14,20:15,21:28
11,05:35,06:51,13:37,17:15,20:17,21:30
12,05:33,06:49,13:37,17:16,20:18,21:31
13,05:31,06:47,13:36,17:16,20:20,21:33
14,05:29,06:45,13:36,17:17,20:21,21:35
15,05:26,06:43,13:36,17:18,20:23,21:37
16,05:24,06:41,13:36,17:18,20:24,21:38
17,05:22,06:39,13:35,17:19,20:25,21:40
18,05:20,06:37,13:35,17:19,20:27,21:42
19,05:18,06:35,13:35,17:20,20:28,21:44
20,05:15,06:34,13:35,17:21,20:30,21:45
21,05:13,06:32,13:34,17:21,20:31,21:47
22,05:11,06:30,13:34,17:22,20:32,21:49
23,05:09,06:28,13:34,17:22,20:34,21:51
24,05:07,06:26,13:34,17:23,20:35,21:52
25,05:05,06:25,13:34,17:23,20:37,21:54
26,05:02,06:23,13:34,17:24,20:38,21:56
27,05:00,06:21,13:33,17:24,20:40,21:58
28,04:58,06:19,13:33,17:25,20:41,22:00
29,04:56,06:18,13:33,17:25,20:42,22:01
30,04:54,06:16,13:33,17:26,20:44,22:03
