Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:42,06:25,13:47,17:49,21:10,22:30
2,04:44,06:26,13:47,17:49,21:09,22:29
3,04:46,06:27,13:47,17:48,21:07,22:27
4,04:48,06:28,13:47,17:48,21:06,22:26
5,04:50,06:29,13:47,17:47,21:04,22:24
6,04:51,06:30,13:47,17:46,21:03,22:23
7,04:53,06:32,13:47,17:46,21:02,22:22
8,04:55,06:33,13:47,17:45,21:00,22:20
9,04:57,06:34,13:47,17:44,20:59,22:19
10,04:58,06:35,13:46,17:44,20:57,22:17
11,05:00,06:36,13:46,17:43,20:55,22:15
12,05:02,06:38,13:46,17:42,20:54,22:14
13,05:04,06:39,13:46,17:41,20:52,22:12
14,05:05,06:40,13:46,17:41,20:51,22:11
15,05:07,06:41,13:46,17:40,20:49,22:09
16,05:09,06:43,13:45,17:39,20:47,22:07
17,05:11,06:44,13:45,17:38,20:46,22:06
18,05:12,06:45,13:45,17:37,20:44,22:04
19,05:14,06:46,13:45,17:36,20:42,22:02
20,05:16,06:48,13:44,17:35,20:41,22:01
21,05:17,06:49,13:44,17:35,20:39,21:59
22,05:19,06:50,13:44,17:34,20:37,21:57
23,05:21,06:51,13:44,17:33,20:36,21:56
24,05:22,06:52,13:43,17:32,20:34,21:54
25,05:24,06:54,13:43,17:31,20:32,21:52
26,05:26,06:55,13:43,17:30,20:30,21:50
27,05:27,06:56,13:43,17:29,20:28,21:48
28,05:29,06:57,13:42,17:28,20:27,21:47
29,05:30,06:59,13:42,17:26,20:25,21:45
30,05:32,07:00,13:42,17:25,20:23,21:43
31,05:34,07:01,13:41,17:24,20:21,21:41
