Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:15,06:39,14:01,17:57,21:17,22:39
2,05:15,06:39,14:01,17:57,21:17,22:39
3,05:13,06:38,14:01,17:57,21:19,22:41
4,05:11,06:36,14:01,17:58,21:20,22:42
5,05:09,06:34,14:01,17:58,21:21,22:44
6,05:07,06:33,14:01,17:59,21:23,22:46
7,05:05,06:31,14:01,17:59,21:24,22:48
8,05:03,06:30,14:01,18:00,21:26,22:50
9,05:01,06:28,14:01,18:00,21:27,22:52
10,04:59,06:27,14:01,18:01,21:28,22:54
11,04:57,06:26,14:01,18:01,21:30,22:55
12,04:55,06:24,14:01,18:02,21:31,22:57
13,04:53,06:23,14:01,18:02,21:32,22:59
14,04:52,06:22,14:01,18:03,21:34,23:01
15,04:50,06:20,14:01,18:03,21:35,23:03
16,04:48,06:19,14:01,18:04,21:36,23:05
17,04:46,06:18,14:01,18:04,21:37,23:06
18,04:45,06:17,14:01,18:04,21:39,23:08
19,04:43,06:15,14:01,18:05,21:40,23:10
20,04:41,06:14,14:01,18:05,21:41,23:12
21,04:40,06:13,14:01,18:06,21:42,23:13
22,04:38,06:12,14:01,18:06,21:43,23:15
23,04:37,06:11,14:01,18:07,21:45,23:17
24,04:35,06:10,14:01,18:07,21:46,23:18
25,04:34,06:09,14:01,18:08,21:47,23:20
26,04:32,06:08,14:01,18:08,21:48,23:22
27,04:31,06:08,14:01,18:08,21:49,23:23
28,04:30,06:07,14:02,18:09,21:50,23:25
29,04:28,06:06,14:02,18:09,21:51,23:26
30,04:27,06:05,14:02,18:10,21:52,23:28
31,04:26,06:05,14:02,18:10,21:53,23:29
