Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:44,07:57,12:53,15:17,17:43,18:53
2,06:43,07:56,12:53,15:18,17:45,18:54
3,06:42,07:55,12:53,15:19,17:46,18:55
4,06:41,07:54,12:53,15:21,17:48,18:57
5,06:40,07:52,12:53,15:22,17:49,18:58
6,06:38,07:51,12:54,15:23,17:51,18:59
7,06:37,07:50,12:54,15:24,17:52,19:01
8,06:36,07:48,12:54,15:25,17:54,19:02
9,06:35,07:47,12:54,15:27,17:55,19:03
10,06:33,07:45,12:54,15:28,17:57,19:05
11,06:32,07:44,12:54,15:29,17:58,19:06
12,06:31,07:42,12:54,15:30,18:00,19:07
13,06:29,07:41,12:54,15:31,18:01,19:09
14,06:28,07:39,12:54,15:32,18:03,19:10
15,06:27,07:38,12:54,15:33,18:04,19:11
16,06:25,07:36,12:54,15:35,18:05,19:13
17,06:24,07:35,12:53,15:36,18:07,19:14
18,06:22,07:33,12:53,15:37,18:08,19:15
19,06:21,07:32,12:53,15:38,18:10,19:17
20,06:19,07:30,12:53,15:39,18:11,19:18
21,06:18,07:28,12:53,15:40,18:13,19:19
22,06:16,07:27,12:53,15:41,18:14,19:21
23,06:14,07:25,12:53,15:42,18:16,19:22
24,06:13,07:23,12:53,15:43,18:17,19:23
25,06:11,07:21,12:53,15:44,18:18,19:25
26,06:09,07:20,12:52,15:45,18:20,19:26
27,06:08,07:18,12:52,15:46,18:21,19:27
28,06:06,07:16,12:52,15:47,18:23,19:29
29,06:05,07:15,12:52,15:47,18:23,19:29
