Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:03,07:37,13:23,14:56,17:24,18:54
2,06:05,07:38,12:23,14:55,17:23,18:53
3,06:06,07:40,12:23,14:53,17:21,18:51
4,06:07,07:42,12:23,14:52,17:20,18:50
5,06:09,07:43,12:23,14:51,17:18,18:48
6,06:10,07:45,12:23,14:50,17:17,18:47
7,06:11,07:46,12:23,14:49,17:16,18:46
8,06:12,07:48,12:23,14:48,17:15,18:45
9,06:14,07:50,12:23,14:47,17:13,18:43
10,06:15,07:51,12:23,14:46,17:12,18:42
11,06:16,07:53,12:24,14:45,17:11,18:41
12,06:17,07:54,12:24,14:44,17:10,18:40
13,06:19,07:56,12:24,14:44,17:09,18:39
14,06:20,07:57,12:24,14:43,17:08,18:38
15,06:21,07:59,12:24,14:42,17:07,18:37
16,06:22,08:00,12:24,14:41,17:06,18:36
17,06:23,08:02,12:25,14:40,17:05,18:35
18,06:25,08:04,12:25,14:40,17:04,18:34
19,06:26,08:05,12:25,14:39,17:03,18:33
20,06:27,08:07,12:25,14:38,17:02,18:32
21,06:28,08:08,12:25,14:38,17:01,18:31
22,06:29,08:10,12:26,14:37,17:00,18:30
23,06:30,08:11,12:26,14:36,17:00,18:30
24,06:32,08:12,12:26,14:36,16:59,18:29
25,06:33,08:14,12:27,14:35,16:58,18:28
26,06:34,08:15,12:27,14:35,16:58,18:28
27,06:35,08:17,12:27,14:35,16:57,18:27
28,06:36,08:18,12:28,14:34,16:56,18:26
29,06:37,08:19,12:28,14:34,16:56,18:26
30,06:38,08:21,12:28,14:34,16:55,18:25
