Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:08,08:30,13:15,14:40,17:04,18:21
2,07:09,08:32,13:15,14:40,17:03,18:21
3,07:10,08:33,13:15,14:40,17:03,18:20
4,07:12,08:34,13:15,14:40,17:02,18:20
5,07:13,08:35,13:15,14:39,17:02,18:20
6,07:14,08:36,13:15,14:39,17:02,18:20
7,07:15,08:38,13:15,14:39,17:02,18:20
8,07:16,08:39,13:15,14:39,17:01,18:20
9,07:16,08:40,13:15,14:39,17:01,18:20
10,07:17,08:41,13:15,14:39,17:01,18:20
11,07:18,08:42,13:15,14:39,17:01,18:20
12,07:19,08:43,13:15,14:39,17:01,18:20
13,07:20,08:44,13:15,14:39,17:01,18:20
14,07:21,08:44,13:15,14:40,17:01,18:20
15,07:21,08:45,13:15,14:40,17:02,18:20
16,07:22,08:46,13:15,14:40,17:02,18:21
17,07:23,08:47,13:15,14:40,17:02,18:21
18,07:23,08:47,13:15,14:41,17:02,18:21
19,07:24,08:48,13:15,14:41,17:03,18:22
20,07:25,08:49,13:15,14:42,17:03,18:22
21,07:25,08:49,13:15,14:42,17:04,18:23
22,07:26,08:50,13:15,14:43,17:04,18:23
23,07:26,08:50,13:15,14:43,17:05,18:24
24,07:26,08:50,13:15,14:44,17:05,18:24
25,07:27,08:51,13:15,14:44,17:06,18:25
26,07:27,08:51,13:15,14:45,17:07,18:26
27,07:27,08:51,13:15,14:46,17:08,18:26
28,07:28,08:51,13:15,14:46,17:08,18:27
29,07:28,08:52,13:15,14:47,17:09,18:28
30,07:28,08:52,13:15,14:48,17:10,18:29
31,07:28,08:52,13:15,14:49,17:11,18:30
