Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:16,08:45,12:58,14:45,17:06,19:00
2,07:16,08:45,12:58,14:46,17:07,19:00
3,07:16,08:44,12:58,14:47,17:08,19:00
4,07:16,08:44,12:59,14:48,17:09,19:00
5,07:16,08:44,12:59,14:49,17:11,19:00
6,07:16,08:44,13:00,14:50,17:12,19:00
7,07:16,08:44,13:00,14:51,17:13,19:00
8,07:16,08:43,13:01,14:52,17:14,19:00
9,07:16,08:43,13:01,14:53,17:15,19:00
10,07:15,08:42,13:02,14:54,17:17,19:00
11,07:15,08:42,13:02,14:55,17:18,19:00
12,07:15,08:41,13:02,14:56,17:19,19:00
13,07:14,08:41,13:03,14:57,17:21,19:00
14,07:14,08:40,13:03,14:59,17:22,19:00
15,07:13,08:40,13:03,15:00,17:23,19:00
16,07:13,08:39,13:04,15:01,17:25,19:00
17,07:12,08:38,13:04,15:02,17:26,19:00
18,07:12,08:37,13:04,15:04,17:28,19:00
19,07:11,08:36,13:05,15:05,17:29,19:00
20,07:10,08:36,13:05,15:06,17:31,19:00
21,07:10,08:35,13:05,15:07,17:32,19:00
22,07:09,08:34,13:06,15:09,17:34,19:00
23,07:08,08:33,13:06,15:10,17:35,19:00
24,07:07,08:32,13:06,15:11,17:37,19:00
25,07:06,08:31,13:06,15:12,17:38,19:00
26,07:05,08:29,13:07,15:14,17:40,19:00
27,07:04,08:28,13:07,15:15,17:41,19:01
28,07:03,08:27,13:07,15:16,17:43,19:03
29,07:02,08:26,13:07,15:18,17:45,19:04
30,07:01,08:25,13:07,15:19,17:46,19:06
31,07:00,08:23,13:08,15:20,17:48,19:07
