Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:13,07:28,14:00,17:29,20:25,21:37
2,06:11,07:26,13:59,17:29,20:26,21:39
3,06:09,07:24,13:59,17:30,20:28,21:41
4,06:06,07:22,13:59,17:31,20:29,21:42
5,06:04,07:20,13:58,17:31,20:31,21:44
6,06:02,07:18,13:58,17:32,20:32,21:46
7,05:59,07:16,13:58,17:33,20:34,21:47
8,05:57,07:14,13:57,17:34,20:35,21:49
9,05:55,07:12,13:57,17:34,20:37,21:51
10,05:52,07:10,13:57,17:35,20:38,21:53
11,05:50,07:08,13:57,17:36,20:40,21:55
12,05:48,07:06,13:56,17:36,20:41,21:56
13,05:46,07:04,13:56,17:37,20:43,21:58
14,05:43,07:02,13:56,17:38,20:44,22:00
15,05:41,07:00,13:56,17:38,20:45,22:02
16,05:39,06:58,13:55,17:39,20:47,22:04
17,05:36,06:56,13:55,17:40,20:48,22:05
18,05:34,06:54,13:55,17:40,20:50,22:07
19,05:32,06:52,13:55,17:41,20:51,22:09
20,05:29,06:50,13:55,17:42,20:53,22:11
21,05:27,06:48,13:54,17:42,20:54,22:13
22,05:25,06:46,13:54,17:43,20:56,22:15
23,05:23,06:45,13:54,17:43,20:57,22:17
24,05:20,06:43,13:54,17:44,20:59,22:19
25,05:18,06:41,13:54,17:45,21:00,22:21
26,05:16,06:39,13:53,17:45,21:02,22:22
27,05:14,06:37,13:53,17:46,21:03,22:24
28,05:11,06:35,13:53,17:46,21:05,22:26
29,05:09,06:34,13:53,17:47,21:06,22:28
30,05:07,06:32,13:53,17:47,21:08,22:30
