Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:25,07:38,13:00,15:04,17:33,19:03
2,06:26,07:39,13:00,15:03,17:31,19:01
3,06:28,07:41,13:00,15:01,17:30,19:00
4,06:29,07:42,13:00,15:00,17:28,19:00
5,06:30,07:44,13:00,14:59,17:27,19:00
6,06:32,07:46,13:00,14:58,17:25,19:00
7,06:33,07:47,13:00,14:56,17:24,19:00
8,06:35,07:49,13:00,14:55,17:22,19:00
9,06:36,07:50,13:00,14:54,17:21,19:00
10,06:37,07:52,13:00,14:53,17:20,19:00
11,06:39,07:54,13:00,14:52,17:18,19:00
12,06:40,07:55,13:00,14:51,17:17,19:00
13,06:42,07:57,13:00,14:50,17:16,19:00
14,06:43,07:58,13:00,14:49,17:14,19:00
15,06:44,08:00,13:00,14:48,17:13,19:00
16,06:46,08:01,13:00,14:47,17:12,19:00
17,06:47,08:03,13:00,14:46,17:11,19:00
18,06:48,08:04,13:00,14:45,17:10,19:00
19,06:50,08:06,13:00,14:45,17:09,19:00
20,06:51,08:07,13:00,14:44,17:08,19:00
21,06:52,08:09,13:00,14:43,17:07,19:00
22,06:54,08:10,13:00,14:42,17:06,19:00
23,06:55,08:12,13:00,14:42,17:05,19:00
24,06:56,08:13,13:00,14:41,17:04,19:00
25,06:57,08:15,13:00,14:41,17:03,19:00
26,06:58,08:16,13:00,14:40,17:02,19:00
27,07:00,08:17,13:00,14:39,17:02,19:00
28,07:01,08:19,13:00,14:39,17:01,19:00
29,07:02,08:20,13:00,14:39,17:00,19:00
30,07:03,08:21,13:00,14:38,17:00,19:00
