Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:55,08:14,12:40,14:37,16:59,18:15
2,06:56,08:15,12:40,14:37,16:58,18:14
3,06:57,08:17,12:41,14:36,16:58,18:14
4,06:58,08:18,12:41,14:36,16:57,18:14
5,06:59,08:19,12:42,14:36,16:57,18:14
6,07:00,08:20,12:42,14:36,16:57,18:14
7,07:01,08:21,12:42,14:36,16:57,18:14
8,07:02,08:22,12:43,14:36,16:57,18:14
9,07:03,08:23,12:43,14:36,16:56,18:14
10,07:04,08:24,12:44,14:36,16:56,18:14
11,07:05,08:25,12:44,14:36,16:56,18:14
12,07:05,08:26,12:45,14:36,16:56,18:14
13,07:06,08:27,12:45,14:36,16:57,18:14
14,07:07,08:28,12:46,14:36,16:57,18:14
15,07:08,08:28,12:46,14:37,16:57,18:15
16,07:08,08:29,12:47,14:37,16:57,18:15
17,07:09,08:30,12:47,14:37,16:57,18:15
18,07:10,08:30,12:48,14:38,16:58,18:16
19,07:10,08:31,12:48,14:38,16:58,18:16
20,07:11,08:32,12:49,14:39,16:59,18:16
21,07:11,08:32,12:49,14:39,16:59,18:17
22,07:12,08:33,12:50,14:40,17:00,18:17
23,07:12,08:33,12:50,14:40,17:00,18:18
24,07:13,08:34,12:51,14:41,17:01,18:19
25,07:13,08:34,12:51,14:41,17:01,18:19
26,07:13,08:34,12:52,14:42,17:02,18:20
27,07:14,08:34,12:52,14:43,17:03,18:21
28,07:14,08:35,12:53,14:43,17:04,18:21
29,07:14,08:35,12:53,14:44,17:04,18:22
30,07:14,08:35,12:54,14:45,17:05,18:23
31,07:15,08:35,12:54,14:46,17:06,18:24
