Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:03,08:17,13:21,15:49,18:18,19:29
2,07:04,08:19,13:21,15:48,18:17,19:27
3,07:05,08:20,13:21,15:47,18:15,19:26
4,07:07,08:22,13:21,15:46,18:14,19:25
5,07:08,08:23,13:21,15:45,18:12,19:23
6,07:09,08:25,13:21,15:43,18:11,19:22
7,07:11,08:26,13:21,15:42,18:09,19:21
8,07:12,08:28,13:21,15:41,18:08,19:20
9,07:13,07:29,13:21,15:40,18:07,19:19
10,07:15,08:31,13:21,15:39,18:05,19:17
11,07:16,08:32,13:22,15:38,18:04,19:16
12,07:17,08:34,13:22,15:37,18:03,19:15
13,07:19,08:35,13:22,15:36,18:01,19:14
14,07:20,08:37,13:22,15:35,18:00,19:13
15,07:21,08:38,13:22,15:34,17:59,19:12
16,07:23,08:40,13:22,15:33,17:58,19:11
17,07:24,08:41,13:22,15:33,17:57,19:10
18,07:25,08:43,13:23,15:32,17:56,18:10
19,07:27,08:44,13:23,15:31,17:55,19:09
20,07:28,08:46,13:23,15:30,17:54,19:08
21,07:29,08:47,13:23,15:30,17:53,19:07
22,07:30,08:49,13:24,15:29,17:52,19:06
23,07:31,08:50,13:24,15:28,17:51,19:06
24,07:33,08:51,13:24,15:28,17:50,19:05
25,07:34,08:53,13:24,15:27,17:50,19:05
26,07:35,08:54,13:25,15:27,17:49,19:04
27,07:36,08:55,13:25,15:26,17:48,19:04
28,07:37,08:57,13:25,15:26,17:48,19:03
29,07:39,08:58,13:26,15:25,17:47,19:03
30,07:40,08:59,13:26,15:25,17:47,19:02
