Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:26,05:52,13:48,18:02,21:44,00:03
2,03:26,05:52,13:48,18:03,21:45,00:03
3,03:26,05:51,13:48,18:03,21:46,00:04
4,03:25,05:51,13:49,18:04,21:47,00:04
5,03:25,05:52,13:49,18:04,21:48,00:04
6,03:25,05:50,13:49,18:04,21:49,00:05
7,03:25,05:49,13:49,18:05,21:49,00:05
8,03:25,05:49,13:49,18:05,21:50,00:06
9,03:25,05:48,13:49,18:05,21:51,00:06
10,03:25,05:48,13:50,18:06,21:52,00:07
11,03:25,05:48,13:50,18:06,21:52,00:07
12,03:25,05:48,13:50,18:06,21:53,00:07
13,03:25,05:47,13:50,18:07,21:53,00:08
14,03:25,05:47,13:51,18:07,21:54,00:08
15,03:25,05:47,13:51,18:07,21:54,00:08
16,03:25,05:47,13:51,18:08,21:55,00:09
17,03:26,05:47,13:51,18:08,21:55,00:09
18,03:26,05:47,13:51,18:08,21:56,00:09
19,03:26,05:47,13:52,18:08,21:56,00:09
20,03:26,05:47,13:52,18:09,21:56,00:10
21,03:26,05:48,13:52,18:09,21:56,00:10
22,03:27,05:48,13:52,18:09,21:57,00:10
23,03:27,05:48,13:52,18:09,21:57,00:10
24,03:27,05:48,13:53,18:09,21:57,00:10
25,03:27,05:59,13:53,18:10,21:57,00:11
26,03:28,05:49,13:53,18:10,21:57,00:11
27,03:28,05:50,13:53,18:10,21:57,00:11
28,03:28,05:50,13:54,18:10,21:57,00:11
29,03:28,05:51,13:54,18:10,21:57,00:11
30,03:29,05:51,13:54,18:10,21:56,00:11
