Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:05,08:19,13:06,15:24,17:50,19:20
2,07:03,08:19,13:06,15:26,17:52,19:22
3,07:02,08:18,13:06,15:27,17:54,19:24
4,07:01,08:16,13:06,15:28,17:55,19:25
5,07:00,08:15,13:06,15:30,17:57,19:27
6,06:59,08:13,13:06,15:31,17:59,19:29
7,06:57,08:12,13:06,15:32,18:00,19:30
8,06:56,08:10,13:06,15:34,18:02,19:32
9,06:55,08:08,13:06,15:35,18:04,19:34
10,06:53,08:07,13:06,15:36,18:05,19:35
11,06:52,08:05,13:06,15:38,18:07,19:37
12,06:50,08:04,13:06,15:39,18:09,19:39
13,06:49,08:02,13:06,15:40,18:10,19:40
14,06:47,08:00,13:06,15:41,18:12,19:42
15,06:46,07:58,13:06,15:43,18:14,19:44
16,06:44,07:57,13:06,15:44,18:15,19:45
17,06:42,07:55,13:06,15:45,18:17,19:47
18,06:41,07:53,13:06,15:47,18:19,19:49
19,06:39,07:51,13:06,15:48,18:20,19:50
20,06:37,07:49,13:06,15:49,18:22,19:52
21,06:36,07:48,13:06,15:50,18:23,19:53
22,06:34,07:46,13:06,15:51,18:25,19:55
23,06:32,07:44,13:06,15:53,18:27,19:57
24,06:30,07:42,13:06,15:54,18:28,19:58
25,06:28,07:40,13:06,15:55,18:30,20:00
26,06:26,07:38,13:06,15:56,18:32,20:02
27,06:25,07:36,13:06,15:57,18:33,20:03
28,06:23,07:36,13:06,15:58,18:34,20:04
29,07:23,08:36,13:06,15:58,17:34,19:04
