Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:09,07:38,12:40,15:05,17:34,19:02
2,06:11,07:40,12:40,15:04,17:32,19:00
3,06:12,07:41,12:40,15:03,17:30,18:58
4,06:14,07:43,12:40,15:02,17:29,18:57
5,06:15,07:45,12:40,15:00,17:27,18:54
6,06:16,07:46,12:40,14:59,17:26,18:53
7,06:18,07:48,12:40,14:58,17:24,18:51
8,06:19,07:49,12:40,14:57,17:23,18:50
9,06:21,07:51,12:40,14:56,17:21,18:49
10,06:22,07:53,12:40,14:55,17:20,18:48
11,06:23,07:54,12:40,14:54,17:19,18:47
12,06:25,07:56,12:40,14:53,17:17,18:46
13,06:26,07:57,12:40,14:52,17:16,18:45
14,06:27,07:59,12:40,14:51,17:15,18:43
15,06:29,08:00,12:40,14:50,17:14,18:43
16,06:30,08:02,12:40,14:49,17:13,18:42
17,06:31,08:03,12:40,14:48,17:11,18:41
18,06:33,08:05,12:40,14:47,17:10,18:40
19,06:34,08:07,12:40,14:46,17:09,18:39
20,06:35,08:08,12:40,14:45,17:08,18:38
21,06:36,08:10,12:40,14:45,17:07,18:37
22,06:38,08:11,12:40,14:44,17:06,18:37
23,06:39,08:12,12:40,14:43,17:05,18:36
24,06:40,08:14,12:40,14:43,17:05,18:35
25,06:41,08:15,12:40,14:42,17:04,18:35
26,06:43,08:17,12:40,14:42,17:03,18:34
27,06:44,08:18,12:40,14:41,17:02,18:34
28,06:45,08:19,12:40,14:41,17:02,18:33
29,06:46,08:21,12:41,14:40,17:01,18:33
30,06:47,08:22,12:42,14:40,17:00,18:32
