Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:03,05:51,14:00,18:11,22:01,23:45
2,04:04,05:52,14:00,18:11,22:00,23:44
3,04:05,05:53,14:00,18:11,22:00,23:44
4,04:07,05:53,14:00,18:11,22:00,23:43
5,04:08,05:54,14:00,18:11,21:59,23:42
6,04:09,05:55,14:00,18:11,21:59,23:41
7,04:10,05:56,14:01,18:11,21:58,23:40
8,04:11,05:57,14:01,18:11,21:58,23:39
9,04:13,05:57,14:01,18:11,21:57,23:38
10,04:14,05:58,14:01,18:11,21:57,23:37
11,04:16,05:59,14:01,18:11,21:56,23:36
12,04:17,06:00,14:01,18:11,21:55,23:34
13,04:19,06:01,14:01,18:11,21:54,23:33
14,04:20,06:02,14:02,18:10,21:54,23:32
15,04:22,06:03,14:02,18:10,21:53,23:30
16,04:23,06:04,14:02,18:10,21:52,23:29
17,04:25,06:06,14:02,18:10,21:51,23:27
18,04:27,06:07,14:02,18:09,21:50,23:26
19,04:28,06:08,14:02,18:09,21:49,23:24
20,04:30,06:09,14:02,18:09,21:48,23:23
21,04:32,06:10,14:02,18:08,21:47,23:21
22,04:34,06:11,14:02,18:08,21:46,23:19
23,04:35,06:13,14:02,18:08,21:44,23:18
24,04:37,06:14,14:02,18:07,21:43,23:16
25,04:39,06:15,14:02,18:07,21:42,23:14
26,04:41,06:16,14:02,18:06,21:41,23:12
27,04:43,06:18,14:02,18:06,21:39,23:10
28,04:45,06:19,14:02,18:05,21:38,23:08
29,04:47,06:20,14:02,18:05,21:37,23:06
30,04:48,06:21,14:02,18:04,21:35,23:04
31,04:50,06:23,14:02,18:04,21:34,23:02
