Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:50,07:08,13:56,17:33,20:35,21:50
2,05:52,07:09,13:55,17:31,20:33,21:47
3,05:53,07:11,13:55,17:30,20:31,21:45
4,05:55,07:12,13:55,17:29,20:29,21:43
5,05:57,07:13,13:54,17:28,20:27,21:40
6,05:58,07:15,13:54,17:26,20:25,21:38
7,06:00,07:16,13:54,17:25,20:23,21:36
8,06:02,07:18,13:53,17:23,20:21,21:33
9,06:03,07:19,13:53,17:22,20:19,21:31
10,06:05,07:21,13:52,17:21,20:16,21:29
11,06:07,07:22,13:52,17:19,20:14,21:26
12,06:08,07:23,13:52,17:18,20:12,21:24
13,06:10,07:25,13:51,17:16,20:10,21:22
14,06:10,07:25,13:51,17:15,20:08,21:19
15,06:11,07:26,13:51,17:14,20:06,21:17
16,06:13,07:28,13:50,17:12,20:04,21:15
17,06:15,07:29,13:50,17:11,20:02,21:13
18,06:16,07:30,13:50,17:09,19:59,21:10
19,06:18,07:32,13:49,17:08,19:57,21:08
20,06:19,07:33,13:49,17:06,19:55,21:06
21,06:21,07:35,13:49,17:05,19:53,21:04
22,06:22,07:36,13:48,17:03,19:51,21:01
23,06:24,07:38,13:48,17:02,19:49,20:59
24,06:25,07:39,13:48,17:00,19:47,20:57
25,06:27,07:40,13:47,16:58,19:45,20:55
26,06:28,07:42,13:47,16:57,19:42,20:53
27,06:30,07:43,13:46,16:55,19:40,20:50
28,06:31,07:45,13:46,16:54,19:38,20:48
29,06:33,07:46,13:46,16:52,19:36,20:46
30,06:34,07:48,13:45,16:51,19:34,20:44
