Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:55,06:24,14:00,18:03,21:32,22:58
2,04:57,06:25,14:00,18:02,21:31,22:56
3,04:59,06:27,14:00,18:02,21:29,22:54
4,05:00,06:28,14:00,18:01,21:28,22:52
5,05:02,06:30,14:00,18:00,21:26,22:50
6,05:04,06:31,14:00,18:00,21:24,22:48
7,05:06,06:32,14:00,17:59,21:23,22:46
8,05:08,06:34,14:00,17:58,21:21,22:43
9,05:10,06:35,14:00,17:57,21:19,22:41
10,05:12,06:36,14:00,17:57,21:18,22:39
11,05:14,06:38,14:00,17:56,21:16,22:37
12,05:16,06:39,14:00,17:55,21:14,22:34
13,05:18,06:41,14:00,17:54,21:13,22:32
14,05:20,06:42,14:00,17:53,21:11,22:30
15,05:21,06:43,14:00,17:52,21:09,22:28
16,05:23,06:45,14:00,17:51,21:07,22:25
17,05:25,06:46,14:00,17:50,21:05,22:23
18,05:27,06:48,14:00,17:49,21:03,22:21
19,05:29,06:49,14:00,17:48,21:02,22:19
20,05:31,06:51,14:00,17:47,21:00,22:16
21,05:33,06:52,14:00,17:46,20:58,22:14
22,05:34,06:53,14:00,17:45,20:56,22:12
23,05:36,06:55,14:00,17:44,20:54,22:09
24,05:38,06:56,14:00,17:43,20:52,22:07
25,05:40,06:58,14:00,17:42,20:50,22:05
26,05:42,06:59,14:00,17:41,20:48,22:02
27,05:43,07:00,14:00,17:39,20:46,22:00
28,05:45,07:02,14:00,17:38,20:44,21:58
29,05:47,07:03,14:00,17:37,20:42,21:55
30,05:49,07:05,14:00,17:36,20:40,21:53
31,05:50,07:06,14:00,17:35,20:38,21:50
