Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:06,06:31,13:53,17:48,21:10,22:38
2,05:04,06:29,13:53,17:48,21:12,22:40
3,05:01,06:28,13:53,17:49,21:13,22:41
4,04:59,06:26,13:52,17:49,21:15,22:43
5,04:57,06:24,13:52,17:50,21:16,22:45
6,04:55,06:23,13:52,17:50,21:18,22:47
7,04:53,06:21,13:52,17:51,21:19,22:49
8,04:51,06:20,13:52,17:51,21:21,22:51
9,04:49,06:18,13:52,17:52,21:22,22:52
10,04:47,06:17,13:52,17:53,21:23,22:54
11,04:45,06:15,13:52,17:53,21:25,22:56
12,04:43,06:14,13:52,17:54,21:26,22:58
13,04:41,06:12,13:52,17:54,21:28,23:00
14,04:39,06:11,13:52,17:55,21:29,23:02
15,04:37,06:09,13:52,17:55,21:30,23:03
16,04:35,06:08,13:52,17:56,21:32,23:05
17,04:33,06:07,13:52,17:56,21:33,23:07
18,04:31,06:06,13:52,17:57,21:34,23:09
19,04:29,06:04,13:52,17:57,21:35,23:10
20,04:28,06:03,13:52,17:58,21:37,23:12
21,04:26,06:02,13:52,17:58,21:38,23:14
22,04:24,06:01,13:52,17:59,21:39,23:16
23,04:22,06:00,13:52,17:59,21:40,23:17
24,04:21,05:59,13:52,18:00,21:42,23:19
25,04:19,05:58,13:53,18:00,21:43,23:21
26,04:18,05:57,13:53,18:00,21:44,23:22
27,04:16,05:56,13:53,18:01,21:45,23:24
28,04:15,05:55,13:53,18:01,21:46,23:26
29,04:13,05:54,13:53,18:02,21:47,23:27
30,04:12,05:53,13:53,18:02,21:48,23:29
31,04:11,05:53,13:53,18:03,21:49,23:30
