Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:10,07:38,12:35,15:04,17:34,19:05
2,06:11,07:39,12:35,15:03,17:32,19:04
3,06:13,07:41,12:35,15:01,17:30,19:03
4,06:14,07:42,12:35,15:00,17:29,19:01
5,06:16,07:44,12:35,14:59,17:27,19:00
6,06:17,07:46,12:35,14:58,17:26,18:58
7,06:18,07:47,12:35,14:57,17:24,18:57
8,06:20,07:49,12:35,14:55,17:23,18:56
9,06:21,07:50,12:36,14:54,17:21,18:55
10,06:23,07:52,12:36,14:53,17:20,18:54
11,06:24,07:54,12:36,14:52,17:19,18:52
12,06:25,07:55,12:36,14:51,17:17,18:51
13,06:27,07:57,12:36,14:50,17:16,18:50
14,06:28,07:58,12:36,14:49,17:15,18:49
15,06:29,08:00,12:36,14:48,17:14,18:48
16,06:31,08:01,12:37,14:47,17:12,18:47
17,06:32,08:03,12:37,14:46,17:11,18:46
18,06:33,08:04,12:37,14:46,17:10,18:46
19,06:34,08:06,12:37,14:45,17:09,18:45
20,06:36,08:07,12:37,14:44,17:08,18:44
21,06:37,08:09,12:38,14:43,17:07,18:43
22,06:38,08:10,12:38,14:42,17:06,18:42
23,06:39,08:12,12:38,14:42,17:05,18:42
24,06:41,08:13,12:38,14:41,17:04,18:41
25,06:42,08:15,12:39,14:41,17:04,18:41
26,06:43,08:16,12:39,14:40,17:03,18:40
27,06:44,08:17,12:39,14:39,17:02,18:39
28,06:45,08:19,12:40,14:39,17:01,18:39
29,06:47,08:20,12:40,14:39,17:01,18:39
30,06:48,08:21,12:40,14:38,17:00,18:38
