Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,03:44,05:52,13:49,18:03,21:49,23:32
2,03:42,05:51,13:49,18:03,21:50,23:33
3,03:41,05:50,13:50,18:04,21:51,23:34
4,03:40,05:50,13:50,18:04,21:51,23:36
5,03:39,05:49,13:50,18:05,21:52,23:37
6,03:37,05:49,13:50,18:05,21:53,23:38
7,03:36,05:48,13:50,18:05,21:54,23:39
8,03:35,05:48,13:50,18:06,21:55,23:40
9,03:34,05:48,13:51,18:06,21:55,23:41
10,03:34,05:47,13:51,18:06,21:56,23:42
11,03:33,05:47,13:51,18:07,21:57,23:43
12,03:32,05:47,13:51,18:07,21:57,23:44
13,03:31,05:47,13:51,18:07,21:58,23:45
14,03:31,05:47,13:52,18:08,21:59,23:46
15,03:30,05:47,13:52,18:08,21:59,23:46
16,03:30,05:47,13:52,18:08,21:59,23:47
17,03:30,05:47,13:52,18:09,22:00,23:47
18,03:30,05:47,13:52,18:09,22:00,23:48
19,03:30,05:47,13:53,18:09,22:01,23:48
20,03:30,05:47,13:53,18:09,22:01,23:49
21,03:30,05:47,13:53,18:10,22:01,23:49
22,03:30,05:47,13:53,18:10,22:01,23:49
23,03:31,05:48,13:54,18:10,22:01,23:49
24,03:31,05:48,13:54,18:10,22:01,23:49
25,03:31,05:48,13:54,18:10,22:02,23:49
26,03:32,05:49,13:54,18:10,22:02,23:49
27,03:33,05:49,13:54,18:11,22:02,23:49
28,03:33,05:50,13:55,18:11,22:01,23:48
29,03:34,05:50,13:55,18:11,22:01,23:48
30,03:35,05:51,13:55,18:11,22:01,23:48
