Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,06:13,07:28,13:59,17:29,20:25,21:55
02,06:10,07:26,13:59,17:30,20:26,21:56
03,06:08,07:24,13:59,17:30,20:28,21:58
04,06:06,07:22,13:59,17:31,20:29,21:59
05,06:03,07:20,13:58,17:32,20:31,22:01
06,06:01,07:17,13:58,17:32,20:32,22:02
07,05:59,07:15,13:58,17:33,20:34,22:04
08,05:56,07:13,13:57,17:34,20:35,22:05
09,05:54,07:11,13:57,17:35,20:37,22:07
10,05:52,07:09,13:57,17:35,20:38,22:08
11,05:50,07:07,13:57,17:36,20:40,22:10
12,05:47,07:05,13:56,17:37,20:41,22:11
13,05:45,07:03,13:56,17:37,20:43,22:13
14,05:43,07:01,13:56,17:38,20:44,22:14
15,05:40,06:59,13:56,17:39,20:46,22:16
16,05:38,06:57,13:55,17:39,20:47,22:17
17,05:36,06:55,13:55,17:40,20:49,22:19
18,05:33,06:53,13:55,17:41,20:50,22:20
19,05:31,06:52,13:55,17:41,20:52,22:22
20,05:29,06:50,13:55,17:42,20:53,22:23
21,05:27,06:48,13:54,17:42,20:55,22:25
22,05:24,06:46,13:54,17:43,20:56,22:26
23,05:22,06:44,13:54,17:44,20:58,22:28
24,05:20,06:42,13:54,17:44,20:59,22:29
25,05:18,06:40,13:54,17:45,21:01,22:31
26,05:15,06:39,13:53,17:45,21:02,22:32
27,05:13,06:37,13:53,17:46,21:04,22:34
28,05:11,06:35,13:53,17:47,21:05,22:35
29,05:09,06:33,13:53,17:47,21:07,22:37
30,05:06,06:32,13:53,17:48,21:08,22:38
